title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
台鐵公司化條例三讀通過 游錫堃盼:重拾交通界泰斗的榮光,"立法院會今天三讀通過台鐵公司化設置條例,為紛爭近20年的台鐵公司化課題踏出最重要一大步。對此,立法院長游錫堃表示,盼「台鐵」在未來的某一天,重拾百年前,交通界泰斗的榮光。這次經立法院三讀通過之「國營台灣鐵路股份有限公司設置條例」共計23條,其中設置安全委員會、資產及取得方式、既存短期債務之處理方式及原機關員工相關權益等重要內容,亦參採納入工會版相關意見。交通部表示,未來在公司子法研訂及實質作業推動更需要工會及員工的參與。為利台鐵公司順利於113年1月掛牌成立,對於後續公司籌設之行政作業,交通部預計成立跨部會「台鐵公司推動會報」,審議公司子法草案及公司實質推動內容。預定111年底完成16個公司子法、組織架構核定,期間將借重港務公司、桃機公司、中華郵政等3家國營公司化經驗,並邀請工會參與討論。游錫堃透過臉書說到,2003年,在行政院上班時同意台鐵公司化,今天,在立法院上班敲下議事槌,通過《國營台灣鐵路股份有限公司設置條例》,中間相隔將近20年,似乎有點久,但改革之事,只怕站,不怕慢,有幸參與,感覺欣慰。游錫堃表示,期待有135年歷史的台灣鐵路管理局,在鋪上公司化的軌道後,勞資雙方同車一命,加速邁開轉型升級行動,讓「台鐵」在未來的某一天,重拾百年前,交通界泰斗的榮光。",https://www.ftvnews.com.tw/news/detail/2022527W0267,民視,一般,,"[85, 178, 349, 456]",2022-05-27 21:04,2022,5,27,21,4
苗栗縣長徐耀昌確診! 輕微咳嗽、喉嚨痛緊急返家隔離,"苗栗縣長徐耀昌今天晚間表示,因為司機確診他不敢輕忽,雖然已自行快篩陰,但仍到醫院讓醫師進一步評估,剛剛報告出來證實確診,已立即結束在外行程,返家進行隔離,並做好居家辦公的準備。徐耀昌今晚透過臉書粉專說,目前有輕微的咳嗽、喉嚨痛,但身體狀況很好,因之前有居家隔離過的經驗,準備好電腦等相關設備,這幾天將在家辦公,對外行程部分,則請副縣長和秘書長代理,縣政運作正常,防疫工作照常,都不會受到影響。徐耀昌將居家照護7+7天,也做好了和病毒共存的準備,他說身體狀況允許,會透過電話或視訊掌握相關縣政並繼續工作,「請鄉親放心,並為阿昌哥加油,以及為所有的確診者及防疫人員加油」。",https://www.ftvnews.com.tw/news/detail/2022527W0266,民視,一般,,"[88, 196]",2022-05-27 20:49,2022,5,27,20,49
邱義仁交棒! 蘇嘉全接任台灣日本關係協會新任會長,"台灣日本關係協會今天上午召開理監事聯席會議暨會員大會,會中通過邱義仁會長請辭案及一致推舉蘇嘉全先生接任會長,同日並舉行交接儀式。日本台灣交流協會台北事務所代表泉裕泰也發文證實,邱義仁已經離任,「除了滿滿的感謝之外,還是感謝」。新任會長蘇嘉全於交接時表示,他過去在立法院長任內,大力推動國會外交,其中特別重視與日本國會之間的交流,上任後不僅親自率團訪問日本,更親自擔任台日國會議員聯誼會的會長,目的就是想要向日本傳遞一個訊息,那就是台灣的立法院不分朝野黨派,都對台日關係非常重視。蘇嘉全也指出,經營台日關係,就好比果農經營果園,只要不斷耕耘與灌溉,等到時機成熟,就能收穫最甜美的果實,未來他將會以最大的熱忱,努力強化台日交流的深度與廣度,讓台日關係更上層樓。台灣日本關係協會指出,蘇嘉全現年66歲,屏東縣出生,國立中山大學公共事務管理研究所畢業,曾任國大代表、立法委員、屏東縣長、內政部長、農委會主委、立法院院長及總統府秘書長等要職,資歷深厚,朝野敬重,且熟稔台日關係,未來台日關係可望再創新猷。",https://www.ftvnews.com.tw/news/detail/2022527W0260,民視,一般,,"[113, 328]",2022-05-27 20:16,2022,5,27,20,16
劉政鴻回鍋戰縣長? 藍黨部打臉:未委託民調,"國民黨桃園市提名之亂的下一個雷區,恐怕是苗栗縣,苗栗縣地方社群,近日流傳一段前縣長劉政鴻的錄音檔,內容是,國民黨將進行苗栗縣長選舉電話民調,前縣長劉政鴻還專程錄音尋求「唯一支持」;不過,傳出國民黨中央,其實並未委託民調機構執行民調,而劉政鴻也沒有出面證實。苗栗縣前縣長劉政鴻的住家,大門深鎖,劉政鴻到底在哪裡?打電話也不接,不見其人,但只聞其聲。前苗栗縣長劉政鴻說,「在5月27日、5月28日,晚上6點~9點民調,請各位鄉親能夠再支持政鴻,讓政鴻再有機會,為苗栗鄉親來建設,為苗栗鄉親來造福。」劉政鴻特別錄音,要求鄉親支持他,回鍋再戰苗栗縣長,但是尷尬的是,國民黨中央澄清,根本沒有委託任何民調機構執行民調。國民黨苗栗黨部主委鍾東錦說,「中央黨部的講法也不太厚道啦,因為那一天的協調的過程中,其實是有允許劉縣長自己做民調,然後黨中央做為參考跟依據。」苗栗縣議員(國)鄭聚然說,「是否對黨中央施壓,我認為劉前縣長這麼忠黨愛國,應該不是這個意思,而是要跟民進黨的提名人做比較,這樣才有數據提供給黨中央參考。」拚命發聲的劉政鴻,不見人影,倒是國民黨中央屬意的人選,現任立委徐志榮,卻再三推辭,說他只想把立委當好當滿。立委(國)徐志榮說,「尤其我現在也當著委員,我也還有兩年的任期,我是希望說,我能夠把現在的工作好好的做好,我並沒有想到選縣長當縣長的事情。」徐志榮表明不選苗栗縣長,有意參選的苗栗縣議長鍾東錦,又因為過去的刑事案件被挖出來而卻步;立委陳超明、徐志榮以及縣長徐耀昌等人都急了,署名推薦苗栗前水利會長謝福弘。前水利會長謝福弘說,「為了加速藍軍的整合,所以開始有這個連署的動作。」苗栗縣長參選人(民)徐定禎說,「不管對手是誰我都沒在怕的啦,我都全力以赴。」面對苗栗藍營提名渾沌不明,相形之下,民進黨定於一尊,徐定禎顯得老神在在。",https://www.ftvnews.com.tw/news/detail/2022527C09M1,民視,一般,邱俊超,"[128, 173, 247, 304, 375, 452, 505, 575, 656, 691, 729]",2022-05-27 19:38,2022,5,27,19,38
世衛行動團返台 王必勝西裝接機送上部長禮物,"率領世衛行動團,到日內瓦向國際發聲的衛福部次長李麗芬,結束6天行程,5月27日下午回到台灣,醫福會執行長王必勝特地穿西裝迎接,還帶著衛福部長陳時中的禮物來接機。衛福部次長李麗芬說,「這次雖然很辛苦,可是我們這次很高興看到,就是有史以來最多理念相近的國家,幫我們發言都是直接支持台灣,我想說我們台灣在防疫工作,在整個醫療的發展,其實我們這次看到,就是我們有接觸的國家,幾乎都是非常贊同,以及非常肯定我們台灣的防疫工作,所以相信我們一定,會得到越來越多國際的支持跟肯定,可以把這個門打開。」醫福會執行長王必勝,西裝筆挺在入境大廳,迎接衛福部次長李麗芬和世衛行動團,並送上衛福部長陳時中準備的接機禮,一起拍大合照。搭乘長途飛機回台,臉上感覺不出疲憊,6天日內瓦行程收穫滿滿,獲得許多國家發言表達對台支持,期盼這趟行程結束後,跟友邦關係更升溫,繼續和世界接軌。",https://www.ftvnews.com.tw/news/detail/2022527P12M1,民視,政治,,"[80, 132]",2022-05-27 19:37,2022,5,27,19,37
邱義仁請辭台日協會長 泉裕泰發文表達感謝,"福島地區食品今年初開放解禁後,台灣日本關係協會會長邱義仁便傳出要辭職。日本台灣交流協會台北事務所代表泉裕泰今天發文證實,邱義仁已經離任。傳出由前立法院長蘇嘉全將接下邱義仁的棒子。泉裕泰發文直言,邱義仁會長在日台間擔任不可或缺的重要橋梁已滿六年,這六年以來日台的互訪人數、貿易金額皆創新高,日台間也陸續簽署了19條備忘錄。邱會長長年的竭力指導,讓日台關係日益緊密。但其實日台這六年來並非都無往不利,有時候您需要站在天秤的兩端衡量利弊,有過辛苦也有過為難。泉裕泰指出,邱義仁的個性相當低調,因此大家未必知道他在台後默默奮鬥的模樣,「但至少我和許多許多日本朋友們絕不會忘記您無數的付出。我敢斷言,因為有了您,如今的日台關係才會如此不一樣。」泉裕泰對邱義仁喊話說:「邱會長,這六年來您辛苦了!相信我們的友情以及您和日本間的情感,今後也會持續升溫。下回,讓我們繼續暢談您一輩子的主題──台灣未來、日台未來、還有我們的人生吧!」。",https://www.ftvnews.com.tw/news/detail/2022527W0252,民視,一般,,"[89, 226, 317]",2022-05-27 19:10,2022,5,27,19,10
遭「北市議員」王鴻薇批不關心選區淹水 林靜儀:我1月是選台中市長?,"台灣連日遭雨彈襲擊,各地下起間歇性大雨,而台中海線地區多處淹水,台中沙鹿、彰化伸港,也有多處低窪積水。國民黨台北市議員王鴻薇用此事批立委林靜儀靜悄悄,不過被抓包是用之前淹水的照片。對此,林靜儀先是反擊,第一時間團隊服務處已關心災情,她表示,單純拍照上傳發臉書就代表有做事,晚間再發文說到,「一月份我選的是台中市長嗎?(黑人問號)」。王鴻薇說到,從昨天下午開始,受到間歇性豪大雨侵襲,造成沙鹿、清水等地多處積水,沙鹿區中山路、清水區海甲路等處積水。但是直到發文現在,選區立委林靜儀靜悄悄,對於淹水渾然不覺,還在日內瓦吃大餐、拍美照,「選區八年來最嚴重的淹水,難道不值得你放下刀叉、相機,關心一分鐘嗎」?對此,林靜儀今日指出,在第一時間就開始關心淹水災情,但他們認為要有進一步瞭解處理後再來跟各位報告,而非單純拍照上傳發臉書就代表有做事,「因此對於那些認為沒發臉書就沒做事的人,會讓人懷疑他對於民意代表的工作是否有誤會」。林靜儀晚間再說到,她很確定的是,一月上任之後,辦公室、服務處與議員們不斷會勘、協調處理、爭取經費、追蹤進度,自己嘴裡最常叨念的就是,「拜託在汛期前完工,不然極端氣候容易致災。」林靜儀表示,她和選區議員們心心念念中二區要做好因應汛期和季節大雨的準備,台北的議員請你們也加油喔(手比愛心),「這幾張都是之前的圖,關心台中我可以給妳資料」。對於王鴻薇被抓包用先前的圖來攻擊一事,林靜儀也說到,用八年前的舊圖來消費地方,不知道台北市議員是見獵心喜、捅刀同黨市長,「我確定市長的工作,蔡其昌副院長可以做得更好喔,歡迎年底為我們加油」。",https://www.ftvnews.com.tw/news/detail/2022527W0250,民視,一般,,"[166, 300, 409, 497, 576, 637]",2022-05-27 19:06,2022,5,27,19,6
王鴻薇用舊照抹黑林靜儀! 民進黨籲立即道歉「國民黨別再亂下去」,"國民黨文傳會副主委、台北市議員王鴻薇拿積水舊照批林靜儀,被發現後悄悄換圖片,說是「誤植」。對於王鴻薇相關言論,民進黨呼籲她立即向台中市民道歉,也要國民黨也真的別再亂下去,否則只會離民心越來越遠。民主進步黨今晚透過臉書粉專說,「王鴻薇用舊照,製造假訊息!」內文首先提到,台中淹水不找盧秀燕,難道台中市長換人了嗎。全台忙著防疫,同時各地警消與工作人員,也積極應對暴雨帶來的淹水災情,大家都在自己的崗位上努力,維持國家的運作,但王鴻薇卻反其道而行,不顧疫情、災情,未經查證,隨便上網拿一張2013年的舊照片亂造謠,甚至惡意抹黑林靜儀委員,令人傻眼。民進黨直言,台中因雨勢過大,造成淹水災情,王鴻薇不找盧秀燕市長,卻反而做圖抹黑林靜儀委員,難道台中市長已經換人了嗎?世衛行動團日前赴瑞士日內瓦,以積極行動爭取台灣的國際參與。民進黨表示,林靜儀身處瑞士,與跨黨派立委組成世界衛生大會(WHA)視導團,替台灣拚外交,仍關心台中災情,早已在第一時間就請服務團隊前往關心並協調處理。另外,民進黨提名的台中市長參選人、立法院副院長蔡其昌,一早也立即前往台中各區了解災情,與水利單位跑了12處淹水點,嚴重淹水的地區,也已經調派臨時抽水設備,希望減輕淹水災情的衝擊。民進黨批評,王鴻薇身為國民黨中央的幹部,卻拿著9年前的舊照片,見獵心喜、造謠抹黑出國為台灣拼外交的林靜儀,被民眾拆穿後,至今連一句道歉也沒有,呼籲王鴻薇應該向台中市民道歉,「國民黨也真的別再亂下去,否則只會離民心越來越遠」。",https://www.ftvnews.com.tw/news/detail/2022527W0251,民視,一般,,"[97, 271, 329, 433, 522]",2022-05-27 19:05,2022,5,27,19,5
找台人當跳板規避追查 10中資假裝台企挖人才,"中國企業,在台灣挖角高科技產業人才,危及國家安全,調查局大規模搜索,10家假裝是台灣企業的中資公司,還發現這些公司為了規避追查,竟然找台灣人當跳板,隱匿資金來源,民進黨立委憂心,半導體產業遭滲透,提出《營業秘密法》修法的構想。調查局大規模搜索10間公司,約談70多人,因為這些公司,疑似都是中資違法在台設立,營業項目清一色跟半導體、晶片設計有關,還趁機挖角台灣高科技人才。財經專家徐嶔煌說,「尤其是在晶圓製造,還有晶圓製造的設備,這兩種類型的人才,都是中國想挖角的,他們因為現在急需,所以他可以開出三倍以上的台灣年薪價格。」中資想方設法滲透,台灣的護國神山-半導體產業,甚至透過挖角技術人員,意圖竊取營業機密,早期手法像是由資訊部門在台灣成立數據公司,再回傳晶片設計圖等資料,或是透過香港子公司,來台設據點,用美金發薪水,規避追查。但在台灣加強查緝,並要求中企投資要經過投審會審核後,中資開始鑽漏洞,找台灣人或公司當跳板,隱匿身分、資金來源,迂迴入台從事業務。財經專家徐嶔煌說,「他想規避兩岸人民關係條例的一些規範,所以他等於是用香港或是新加坡的公司,甚至比如說,他就押在一個人身上,表面上看起來是一個台灣人設立的公司,看起來也不是中資的公司,所以這也是為什麼過去追查的時候,困難度很高。」立委(民)陳亭妃表示,「我覺得我們應該要從個人資金來查起,我們都希望把營業秘密法的部分能做一些比較完整的修法,這樣才能有第一道、第二道、第三道的防線。」陳亭妃憂心,台灣關鍵技術被中國竊取,因為調查局掌握,約100家中國企業,疑似非法挖角台灣人才,雖然《國安法》已經新增了「經濟間諜罪」,祭出重罰,但道高一尺、魔高一丈,政府得找出更有效的方法,防堵滲透。",https://www.ftvnews.com.tw/news/detail/2022527P10M1,民視,政治,,"[113, 430, 545, 621]",2022-05-27 18:58,2022,5,27,18,58
國際旅遊逐漸解封 陳時中:台灣有望6月開放團客,"日本政府宣布,從6月10日起開放外國「觀光團」入境,台灣更被歸類於風險最低的「藍色」級別,入境時不須篩檢與隔離。不過,台灣旅行社的「出團禁令」仍未鬆綁,因此等於還是去不了,但觀光局指出,下半年有望解除。至於我國何時也會開放團客到來台旅遊?陳時中鬆口指出,時間點有望落在6月。從傳統莊嚴神社、壯麗的楓林與銀白雪景,到新鮮生魚片等美食,旅居日本的台灣人拍攝旅遊影片,吸引許多人留言感嘆「好想去日本玩!」、「快要悶壞了,想念日本的風景與食物」。而日本首相岸田文雄宣布,6月10日起,將接受「外國觀光團」入境。日本首相岸田文雄表示,「根據現在實施的旅遊試辦以及相關方針,下個月10號(6/10)開始,將開放旅行社人員陪同的套裝觀光團入境。」NHK主播報導,「開放入境免篩檢隔離的低風險國家,限於美國、南韓、中國等共98個國家與區域。」日本提高單日入境人數上限到2萬人,並重啟部分國際航線。更將各國分為紅、黃、藍3等級,其中台灣、美國等98個國家,被列在風險最低、入境時不用篩檢與隔離的「藍組」。只是我國的「禁止旅行社出團」禁令還沒解除,等於還是去不了。旅遊業者李奇嶽說,「我們這邊是禁止出團的,但日本那邊是只收旅行團,第二點就是隔離政策,這兩個沒有解決的話,我們當然相對困難。」疫情指揮中心指揮官陳時中表示,「現在在境外移入的跟在國內的染疫風險,其實已經差不多了,所以大概這個月到下個月,我想陸陸續續有關於邊境放寬的政策都會有一些出來,時間大概就下個月(6月),那方向我還要跟各部會來做一下討論。」觀光局預計下半年解除禁令,陳時中也鬆口,我國6月有望開放,讓團客到台灣觀光旅遊。看看各國開放觀光狀況,美國只要提供疫苗2劑接種證明,以及搭機前、3天內的PCR陰性報告,入境時就可以免隔離。而英國更不須任何報告文件,入境也不用居隔;泰國是如果完全接種疫苗,只要入境時快篩陰,也免隔離。隨著與病毒共存成為趨勢,邁向解封,看來已成為各國共識。",https://www.ftvnews.com.tw/news/detail/2022527P09M1,民視,政治,,"[137, 316, 363, 472, 535]",2022-05-27 18:57,2022,5,27,18,57
