title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
許崑源逝世2週年線上音樂會 邀藍營大咖展現團結,"前高雄市議長許崑源6月6日逝世將滿2週年,女兒許采蓁明天將辦線上音樂會,邀國民黨主席朱立倫、前立法院長王金平及前高雄市長韓國瑜、中廣董事長趙少康等人預錄影片參加,展現團結。許采蓁將繼承父親衣缽,代表國民黨參選年底高雄市第8選區(新興、苓雅、前金區)市議員,明天是許崑源逝世2週年,許采蓁對中央社記者表示,她將以預錄方式,舉辦線上追思音樂會,6日晚間8時在她的臉書(Facebook)粉專播放。許采蓁說,這場線上音樂會,她已邀請朱立倫、王金平、韓國瑜、趙少康及現任議長曾麗燕、副議長陸淑美等人,以預錄致詞影片方式參加,展現藍營團結;另她也邀了2名南部綠營人士參加,讓音樂會更顯人情味。許采蓁表示,盼透過這場音樂會,讓國民黨人士可藉此發表心聲、齊心向前,破除不團結謠言,也希望讓民眾再次看見國民黨的決心,「這次團結不單只是口號,更是以行動表示」。她還說,即使從政是條艱辛的道路,仍奮不顧身投入選戰,透過音樂會,除了讓她有喘息的空間可消化情緒,也能讓民眾一起緬懷父親生前從政點滴,「人走茶未涼,就讓音樂會用旋律訴說思念」。",https://www.cna.com.tw/news/aipl/202206050151.aspx,中央社,政治,蔡孟妤高雄,"[86, 196, 291, 371]",2022-06-05 17:03,2022,6,5,17,3
確診遺體火化時間 國民黨團要求制定標準,"確診死亡遺體火化時間引發討論,國民黨團總召曾銘宗今天表示,遺體倉促火化,讓許多家屬無法見親人最後一面。要求指揮中心重新規定清楚火化時間,以利民眾及殯葬業者遵循,也為確診死亡者留下最後的尊嚴。確診死亡遺體火化時間引發討論,國民黨立法院黨團總召曾銘宗、書記長萬美玲等人今天在立法院召開記者會,要求衛福部必須對外說清楚。曾銘宗表示,中央疫情指揮中心規定遺體火化的時間規定不清楚,引發「火化之亂」。衛福部長陳時中日前表示,現行規定「新冠肺炎確診死亡須於24小時內通報,遺體須盡快火化,並未規定須於24小時內火化」,已引發重大爭議。曾銘宗指出,指揮中心副指揮官陳宗彥早於去年6月8日表示,「殯葬業者做好防護降低風險,遺體24小時內火化。」顯然一個指揮中心前後有二種講法,陳時中打臉陳宗彥,難怪殯葬業者批評朝令夕改,無法執行。曾銘宗表示,過去兩年半來,實務操作上引發最大爭議的是遺體倉促火化,家屬無從做好後事準備,送家人最後一程,甚至造成許多家屬無法見親人最後一面,留下終生遺憾。他指出,國民黨團對「火化之亂」表達譴責,並要求指揮中心重新規定清楚,遺體火化的時間,以利民眾及殯葬業者遵循,也為確診死亡者留下最後的尊嚴。與會的副書記長鄭正鈐指出,衛福部在109年就已公告將COVID-19歸為第五類傳染病,對於遺體處置須在24小時內火化,指揮中心也在同年2月23日發函給中華民國醫師公會聯合會,要求必須依傳染病防治法規定「遺體應於中央主管機關公告之期限內入殮並火化」,為何現在突然改變作法?陳時中依舊沒說清楚,之前所公告的公函,是否還算數。副書記長洪孟楷表示,101年衛福部官網上公告「第五類傳染病必須在24小時內入殮或火化」,民進黨政府在這5年來有做過修正、修訂公告嗎?不是該以當初的公告為準嗎?民進黨政府把規定訂清楚有這麼困難嗎?現在又說不需要24小時火化,讓家屬、業者無所適從。",https://www.cna.com.tw/news/aipl/202206050101.aspx,中央社,政治,王承中台北,"[95, 157, 261, 357, 434, 503, 663]",2022-06-05 14:03,2022,6,5,14,3
馬英九批台灣是不自由的民主 蘇貞昌:違逆事實必成世界笑柄,"前總統馬英九形容台灣一步步墮入不自由的民主,行政院長蘇貞昌今天表示,台灣的民主是全世界公認,竟有人違逆事實、為專制極權塗脂抹粉,台灣人民不接受,也一定成為世界笑柄。前總統馬英九昨天透過臉書表示,六四事件33週年,一方面,他要再次呼籲大陸當局,勇於面對歷史、承擔責任,才能往前邁進。另一方面,也要藉此機會反思,台灣雖號稱民主,卻一步步墮入不自由的民主,格外值得警惕。蘇貞昌今天參觀「2022台北國際書展」受訪時表示,台灣的自由、民主是全世界公認,各種評比也都名列前茅;大家也看到,中國用蠻橫的手段打壓香港民主,對新疆、西藏用各種粗暴的手段,違逆人權。蘇貞昌說,在防疫的工作上最可以對比,台灣用民主、開放、溝通,大家一起合作來對抗疫情,中國卻粗暴封城,連人民都不接受。「還有人竟然違逆事實,來為專制極權塗脂抹粉」,對自己反而多所扭曲,一定不被台灣人民接受,也一定成為世界笑柄。另外,斯洛伐克國會及布拉提斯拉瓦省聯合訪問團今天早上抵達台灣,預計在台停留至10日。蘇貞昌表示,民主自由的國家,大家多一點溝通互動、團結合作,最符合普世價值,台灣和相關的國家都盡量有「善的循環」,也熱烈歡迎斯洛伐克訪團,希望能更進一步加強彼此間的合作。",https://www.cna.com.tw/news/aipl/202206050090.aspx,中央社,政治,陳俊華台北,"[82, 182, 274, 386, 428]",2022-06-05 13:20,2022,6,5,13,20
朱立倫:國民黨持續捍衛中華民國 穩定台海和平,"國民黨主席朱立倫今天表示,面對自由主義國際秩序面臨挑戰,國民黨會持續捍衛中華民國、貫徹創黨建國以來的自由民主價值。此次訪美就是要和全世界民主國家交朋友,持續扮演穩定台海和平的重要力量。朱立倫2日啟程訪美,今天在臉書粉絲團發文表示,面對自由主義國際秩序面臨挑戰,國民黨會持續捍衛中華民國、貫徹總理孫中山創黨建國以來的自由民主價值。這次來美國,就是要和全世界民主國家交朋友,持續扮演穩定台海和平的重要力量。朱立倫指出,此次訪美之行,第一站來到史丹佛大學胡佛研究所,距離他上次訪問已過3年,很高興再次見到許多老朋友,也結交許多新朋友。朱立倫表示,訪團和常駐胡佛研究所熟悉台灣的學者專家,包括戴雅門(LarryDiamond)、祁凱立(KharisTempleman)、前軍事將領以及新生代學者共同探討了疫情後的國際變局、美中台關係的最新動態,以及大家相當感興趣的地方選舉議題。",https://www.cna.com.tw/news/aipl/202206050088.aspx,中央社,政治,王承中台北,"[92, 201, 264, 301, 320]",2022-06-05 13:09,2022,6,5,13,9
張善政選桃園 羅智強建議補程序正義辦理初選,"前台北市議員羅智強今天表示,許多國民黨支持者對黨中央粗暴不公的提名作法無法認同,這將是國民黨桃園市長參選人張善政最致命的「正當性破口」;他建議張善政應補正程序正義,向黨中央要求辦理初選。對於羅智強建議張善政向黨中央提出初選,國民黨桃園市區域立委、立法院黨團書記長萬美玲今天在立法院接受媒體訪問時表示,大家會在乎程序正義,也都希望自己支持的對象能出線,當然初選是種方式,但當初朱立倫有自己的考量,且徵召作業也經中常會通過。萬美玲指出,提名過程中的紛擾需要時間處理,目前朱立倫雖在美國訪問,相信仍會持續關心桃園的狀況,希望朱立倫回國後能儘速找大家溝通,因為如果不團結,國民黨沒有勝選的希望,這考驗朱立倫的智慧。國民黨日前徵召前行政院長張善政參選桃園市長,本有意要參選的羅智強昨天在臉書粉絲團發文指出,國民黨主席朱立倫欺騙社會大眾、欺騙桃園人。面對沒有誠信的領導者,他早已不把任何期待放在朱立倫身上,朱立倫已不是他的對話對象。不過羅智強表示,他還沒有對張善政失去信任,張善政曾公開希望他能給予幫助,所以接連三天,他會分別對張善政提出「公正、自信、無私」,要贏桃園市長的三個建議。羅智強今天發文指出,有48.9%桃園人不支持違反程序正義,徵召張善政。他想給張善政的第一策就是補正程序正義,若張善政希望打贏桃園市長選舉,建議張善政向國民黨中央鄭重要求,給所有想參選桃園市長的國民黨同志一段衝刺期,挑選有公信力的民調機構做民調。羅智強指出,這個建議不僅是為所有有意參選桃園市長的同志,求一個公平競爭的機會;也能展現張善政捍衛國民黨程序正義的高度和勇氣。羅智強表示,包括他在內,許多國民黨支持者並不質疑張善政擔任市長的能力,而是對國民黨中央粗暴不公的提名作法無法認同。這樣的質疑,將是張善政參選最致命的「正當性破口」,這正是「程序正義」之所以重要的緣故。",https://www.cna.com.tw/news/aipl/202206050084.aspx,中央社,政治,王承中台北,"[93, 210, 303, 410, 486, 608, 670]",2022-06-05 12:58,2022,6,5,12,58
要音檔與譯文碰壁 蘇貞昌:盼恩恩父母能盡快取得,"確診死亡兒童「恩恩」父親盼提供119與新北市衛生局橫向聯繫音檔與譯文遭拒。行政院長蘇貞昌今天表示,恩恩的父母親一定最想知道真相,如果有需要,希望孩子的爸爸、媽媽能趕快取得資料。新北市中和區2歲男童「恩恩」確診COVID-19(2019冠狀病毒疾病)不治。男童父親林先生為尋求真相,依政府資訊公開法申請當事人報案紀錄、政府間橫向聯繫紀錄。新北市政府消防局長黃德清則說,119與新北市政府衛生局間通話,恩恩父親非相關通話當事人,涉及隱私、個人資料保護,不提供音檔或譯文,僅提供處理過程文字說明。蘇貞昌上午參觀「2022台北國際書展」時受訪表示,孩子都是心頭的寶貝,而一個小生命的消逝,讓人深感遺憾和痛苦,恩恩的父母親一定最想知道真相。蘇貞昌說,在恩恩的爸爸、媽媽要求下,指揮中心、1922立刻提供相關資料;對於地方衛生局或消防局橫向聯繫的資料,如果有需要,也希望孩子的爸爸、媽媽能盡快取得。另外,疫情爆發至今2年多,確診死亡個案在殯葬業界安排下於24小時內火化,但指揮中心指揮官陳時中日前表示,沒有一定要在24小時內處理確診者遺體。殯喪業者希望指揮中心能夠訂出完整SOP,讓他們可以遵循。蘇貞昌表示,對於任何生命的消失都深感不捨,相關的處理方法希望能照規定,請指揮中心和地方政府、業者多多溝通。",https://www.cna.com.tw/news/aipl/202206050081.aspx,中央社,政治,陳俊華台北,"[88, 168, 245, 315, 393, 492]",2022-06-05 12:49,2022,6,5,12,49
派人戰基隆新竹?民眾黨:將與可能對象討論,"台灣民眾黨立委邱臣遠、高虹安是否參選2022基隆市與新竹市選戰,外界關注。民眾黨秘書長謝立功表示,立法院會期已結束,黨內應會找時間,與可能參選對象坐下來進一步討論。民眾黨4月通過提名立委賴香伶參選2022桃園市長,而基隆市與新竹市是否推出參選人,備受關注。謝立功向中央社記者表示,除桃園之外,其餘的年底縣市首長提名將採個案處理方式,保留比較大的彈性,沒有一定要提名、或是有既定時程,目前都未有任何決定。他說,將觀察其他政黨在各縣市推出的人選,若要提名,會與相關評估對象進行討論,不提名的區域如果有適合對象,則可考慮合作。外界普遍認為,民眾黨立委邱臣遠、高虹安正在評估投入年底基隆市與新竹市的選戰。謝立功則說,立法院會期已經結束,黨內應該會找時間與可能參選的對象,坐下來進行進一步的討論。他表示,未來若要再提名,參選的條件一定要有當地民眾的認同肯定,以及對縣市未來發展有幫助。對於是否表態參選新竹市,高虹安接受中央社記者訪問時指出,目前疫情仍嚴峻,加上國民黨與民進黨新竹市的參選人尚未確定,此事並不急;但會持續深耕,進行選民服務,關心新竹大小事。邱臣遠則是頻頻現身基隆,端午連假首日,他在臉書貼出到基隆會勘停車場的相關資訊,昨天則是到基隆安樂市場等處,發放口罩等防疫物資。",https://www.cna.com.tw/news/aipl/202206050072.aspx,中央社,政治,賴于榛台北,"[82, 128, 201, 260, 343, 387, 472]",2022-06-05 12:15,2022,6,5,12,15
藍持續協調苗栗竹市人選 黃健庭下週到高雄會基層,"國民黨備戰年底縣市長選戰,未因黨主席朱立倫訪美停歇,選策會現仍持續協調苗栗縣與新竹市人選;秘書長黃健庭預計下週南下高雄,將與地方座談聽取基層意見,討論高雄市長人選。國民黨布局年底市長選舉,目前在苗栗縣、新竹市、嘉義縣、高雄市、澎湖縣等地尚未確定人選。至於新北市長侯友宜、台中市長盧秀燕何時宣布競選連任,黨中央定調現以防疫為重,相關時程尊重地方首長決定;國民黨預計9月3日舉辦全代會,為所有縣市長參選人造勢。國民黨日前欲徵召立委徐志榮參選苗栗縣長,但遭徐志榮婉拒,黨中央目前仍持續協調勸進,是否能在朱立倫訪美期間確定人選,黨內人士僅說,沒有設下任何時間點,就是盡力溝通。黨內人士也說,在新竹市部分,國民黨新竹市議會黨團雖全力支持議員林耕仁參選,但立委鄭正鈐與前NCC委員、清華大學教授翁曉玲都是被點名人選;目前持續溝通協調,找出最合適人選。至於高雄市,就屬孫文學校總校長張亞中最積極,但尚未正式表態參選;國民黨智庫執行長柯志恩亦是被點名對象,但柯志恩意願並不高。據了解,黃健庭下週會南下高雄,聽取基層意見,並與地方意見領袖討論這次市長人選。嘉義縣是此次藍營最艱困選區,黨內迄今無人表態參選,地方上也暫時找不到人選一戰,因此,黨中央的策略將不排除與他黨合作,共推縣長參選人。至於澎湖縣方面,副議長陳雙全雖有意參選,但黨中央仍鎖定由縣長賴峰偉競選連任,並期盼陳雙全能全力輔選,黨內評估問題不大。",https://www.cna.com.tw/news/aipl/202206050070.aspx,中央社,政治,劉冠廷台北,"[82, 203, 284, 369, 469, 535]",2022-06-05 12:15,2022,6,5,12,15
疫情變數打亂布局 綠北北桃提名不排除延至8月底,"疫情打亂年底縣市長選戰節奏,民進黨黨政人士表示,年底地方首長選舉造勢恐延到928黨慶,當前以穩住疫情為最優先,717全代會定調以黨權力核心改組為主,北北基桃竹提名不一定在7月17日前定案,最遲可至8月底。民進黨預計7月17日召開全國黨代表大會,重頭戲是改選中執委、中常委和中評委,重組黨權力核心;至於7月17日是否為年底九合一選舉進行造勢,民進黨黨政人士表示,受疫情影響,不能以7月17日當作底線。黨政人士指出,根據中選會公告,8月29日至9月2日處理候選人登記的申請;換言之,選舉登記至8月底,7月17日就看完成哪幾個縣市提名,但目前以處理疫情為最優先,7月17日不一定會有造勢活動。這名人士表示,7月17日全代會主要是黨權力核心改選,選舉造勢可能會另外處理,例如9月黨慶時再行處理,且以黨慶日作選舉造勢,過去有前例可循;因此,需視疫情處理與各縣市提名進度而定,今年因疫情打亂選舉提名進度,「國民黨也慢,民進黨也慢」。黨政人士表示,若疫情仍延燒,7月17日舉辦造勢活動既不好、也不妥,且最近因疫情關係,完全沒有進入討論選舉布局的議題規劃,府院黨全力以處理疫情為首要。民進黨現已完成兩波縣市提名,包括高雄市長陳其邁、台南市長黃偉哲、嘉義縣長翁章梁,台中市提名蔡其昌、屏東縣周春米、雲林縣劉建國、南投縣蔡培慧、宜蘭縣江聰淵、苗栗縣徐定禎等9縣市。備受關注的北北基桃人選,知情人士表示,新北市長布局目前有兩種選戰思維:一次性提名、或從長期培養人才作為提名。所謂一次性提名如政務官參選,過去提名蘇貞昌、游錫堃等院長級人士參選新北市長;長期培養是指從新北市9位立委中尋找適合人選,目前要採取哪一種思維、尚未確定。至於有媒體稱新竹市長林智堅或內政部長徐國勇將參選新北市,知情人士表示,這都是媒體猜測,不論林智堅或徐國勇都屬於空降、一次性提名;但最終採一次性或長期培養的提名軸線都未定案,黨內比較傾向以長期培養人才的軸線作為提名依據。在桃園市長人選部分,這位知情人士說,桃園市與新北市的布局思考有些微不同,桃園市是執政縣市,會尊重、以現任桃園市長鄭文燦的意見為主;對鄭文燦而言,就是提名、誰能夠贏得大選。至於台北市長布局,國民黨已提名立委蔣萬安,台北市副市長黃珊珊也來勢洶洶。知情人士表示,目前公開表態僅前交通部長林佳龍,台北市長人選仍以考量最有可能勝選的人、找出會贏的人,衛生福利部長陳時中目前以處理疫情為主。知情人士分析,基隆市可望徵召立委蔡適應,彰化縣是前縣長魏明谷與邱建富兩強相爭,嘉義市仍以前立委李俊俋最被看好,但他本人參選意願不高。花蓮縣與台東縣部分,知情人士表示,最被看好的是總統府發言人KolasYotaka(谷辣斯.尤達卡)參選花蓮縣長、立委陳瑩參選台東縣長,但陳瑩參選意願不高。澎湖縣部分,民進黨籍縣議員陳慧玲宣布爭取黨內提名,前澎湖縣長陳光復也是熱門人選。",https://www.cna.com.tw/news/aipl/202206050068.aspx,中央社,政治,溫貴香台北,"[102, 199, 293, 410, 484, 572, 702, 811, 896, 1000, 1066, 1100]",2022-06-05 12:14,2022,6,5,12,14
「台灣好朋友」斯洛伐克訪團抵台 蔡總統7日接見,"斯洛伐克國會及布拉提斯拉瓦省聯合訪問團今天早上抵達台灣,預計在台停留至10日。總統府發言人張惇涵說,訪團成員皆是堅定挺台的「台灣好朋友」,總統7日將在總統府接見訪團,就深化兩國經貿及科技等領域合作關係交換意見。張惇涵向媒體表示,這次訪問團由斯洛伐克國會副議長勞倫契克(MilanLaurencik)、斯國國會友台小組主席歐舒斯基議員(PeterOsusky),及布拉提斯拉瓦(Bratislava)省長德若巴(JurajDroba)共同組團。其餘訪團成員包括外交、國防、財政及歐洲事務四個委員會的跨黨派重量級國會議員席曼諾娃(AnnaZemanova)、列霍茨基議員(TomasLehotsky)、齊阿克議員(MiroslavZiak)、史丹奇克議員(AndrejStancik),以及布拉提斯拉瓦省馬拉基市(Malacky)市長瑞哈(JurajRiha)、布省主任秘書烏曼妮柯娃(AndreaUrmanicova),及禮賓處副處長康斯卡(MichaelaKunska)等共10名成員。張惇涵表示,去年9月斯洛伐克捐贈疫苗予台灣,從1萬加碼到16萬,這份溫暖情誼,相信台灣人民仍猶記在心。此行是繼去年12月斯洛伐克經濟部次長葛力克(KarolGalek)率團訪台後,再次有斯國訪問團來台;更是全球疫情蔓延2年多以來,斯洛伐克國會領袖及重要行政首長首度聯合組團訪台,不僅展現台斯友好關係持續深化,也充分彰顯斯洛伐克從行政部門到國會部門、從中央到地方,對於深化台斯合作連結的高度重視。張惇涵說,訪團成員都是堅定挺台的「台灣好朋友」,勞倫契克、歐舒斯基,長期不遺餘力推動友台決議案。去年,斯洛伐克國會首次通過支持台灣參與「世界衛生大會」(WHA)決議案;今年甚至在外交、衛生及歐洲事務3個委員會,一週內連續通過3個支持台灣參與WHA決議文;去年斯洛伐克捐贈台灣疫苗,更是有賴勞倫契克及歐舒斯基的大力協助。張惇涵表示,德若巴擔任國會議員期間,即曾經3次訪台,此行則是第2度以省長身分來訪。德若巴過去曾協助推動「避免雙重課稅協定」、「免試互換駕照協定」及「打工度假」等台斯雙邊重要協定。高雄市於2020年底捐贈布拉提斯拉瓦省30萬片口罩,開啟台灣與斯洛伐克間「善的循環」。張惇涵強調,期盼此行讓台灣與斯洛伐克「善的循環」生生不息,並透過此行的深入交流,持續深化台灣與斯洛伐克的緊密夥伴關係,除了同心攜手抗疫,也共同團結合作,提升全球民主的韌性。",https://www.cna.com.tw/news/aipl/202206050059.aspx,中央社,政治,葉素萍台北,"[105, 139, 172, 210, 221, 267, 289, 313, 332, 373, 397, 428, 443, 521, 640, 799, 850, 931]",2022-06-05 11:54,2022,6,5,11,54
