title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
議員籲忠孝西路開放騎機車 北市府允重啟評估,"台北車站前忠孝西路禁行機車超過40年,台北市交通局107年曾研擬開放機車通行,但模擬計算後發現將造成車流堵塞而作罷,如今在議員要求之下,交通局將重啟評估。國民黨台北市議員李明賢日前在市政總質詢上表示,台北車站前忠孝西路禁行機車為前總統李登輝任台北市長時所下命令,至今已超過40年,與當前時空環境背景已有不同,但市府仍維持舊制。台北市交通局長陳學台當時答詢坦言,禁行機車命令早在交通局成立前就已實施,現在已經找不到原因,研判是因為當時忠孝東路是公車班次最多的道路,而大車死角多、視線差,才禁行機車。李明賢指出,10年來機車騎士誤闖忠孝西路被開的罰單超過3萬張,光107年就7000多張,平均每天有20人誤闖,突顯這路段禁行機車的不合理處。李明賢表示,交通局上次評估解禁已是107年,時隔已久,現在路型、車流都與當年大相徑庭,公車專用道也拆除了,不該再把這個歧視機車族、違反道路平權的禁令推給「歷史共業」,應檢討政策合理性,開放試行。台北市長柯文哲回應,好像沒有必要維持禁止機車通行,回去會檢討看看;陳學台說,公車路線、交通量都已經改變,可以持續檢討。無黨籍議員林亮君指出,忠孝西路是台北市第一條禁行機車道路,成為機車族的「黑洞區」,每到這邊就要大迴轉避開,結果只能塞在周邊道路上,無助舒緩車流。林亮君說,機車族期盼解禁已久,交通局應保持開放態度,甚至試辦在特定時間內開放機車行駛,有條件一步步開放。陳學台表示,這幾年有針對公車路線或班次做調整,今年會再做一次檢討,會朝這方向研議。",https://www.setn.com/News.aspx?NewsID=1126552&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,,"[77, 163, 248, 318, 415, 474, 546, 598]",2022-06-05 23:05,2022,6,5,23,5
四叉貓爆「北市府科長上班玩PTT」 林育生認錯自請處分,"網紅「四叉貓」今天發文指稱台北市交通局運輸資訊科長林育生等人在上班時玩批踢踢實業坊(PTT)。林育生晚間表示,他認錯、自請處分,但沒有集團式帶風向行為。「四叉貓」發文指稱,台北市觀傳局觀光發展科員宋承恩、交通局運輸資訊科長林育生等人在上班時間使用PTT。對此,台北市政府證實無誤,但屬於個人行為,將送獎懲委員會討論是否不當及相關懲處。林育生晚間在PTT發文表示,他從公元1997年就開始使用PTT,的確會在上班時上PTT,違反相關規定,這點他認錯,也會自請處分,但他自覺沒有集團式帶風向行為,且沒有接受到任何人的指令,至於算不算網軍就交給大家公評。林育生隨後再度發文補充,他對於曾罵「四叉貓」、社民黨籍台北市議員苗博雅等行為致上歉意,希望他們大人有大量,不要跟他一般計較。對此,「四叉貓」在臉書發文表示,接受林育生的道歉,所以「挖北市府公務員摸魚系列文」先到此為止。民進黨議員王閔生日前在議會市政總質詢上指出,PTT帳號LoveError發表多篇文章,身分與內容被網友抓包不合理後還稱是幻想文,IP位置在北市府。會後,資訊局清查後,確認為台北市會展產業發展基金會林姓員工發文,林員宣稱文章內容為親身經歷、不是造謠。台北市長柯文哲團隊前網路行銷總監吳靜怡昨天也在臉書(Facebook)發文公布11組IP且聲稱均為北市府的,並質疑共用IP可能是有組織網軍行為。網紅「四叉貓」劉宇今天在臉書發文,質疑有北市府員工上班玩PTT發文介紹市政,同時還有許多攻擊民進黨的推文內容。另外,民進黨基隆市議員張之豪表示,他於2010年在北市府服務時,PTT是有鎖權限而無法登入。對此,台北市政府資訊局資通安全中心主任謝嘉興晚間告訴中央社記者,尊重各界言論看法,但若有任何對北市府員工濫用相關資源發文的非法事證,可直接提供具體事證檢舉,有調查依據就會啟動相關作為,將交檢警依法調查,經查若違反北市府規定屬實者,絕對會進行議處,但希望各界不要「網路辦案」。謝嘉興表示,針對吳靜怡所公布的「北市府11組IP」,經查實為8組IP及3個網段,前者分別為「117.56.185.20、117.56.185.21、117.56.178.82、117.56.178.80、117.56.51.37、101.9.131.184、101.9.131.125、101.9.99.124」,後者為「117.56、117.56.178、117.56.185」。他指出,其中僅有前4組IP為北市府所用,府內任何員工要登入任何網站都需經此聯網媒介使用。目前初步調查了解,並無看到在PTT上有所謂北市府網軍跡象及違法事證。至於其它4組IP及3個網段,謝嘉興說,均非北市府所使用(為其他單位所用),是否有涉及不法行為,須向主管機關政府網際服務網(GSN)申請調查,且基於資安防護考量,也僅限IP使用者自行申請,他人或其他機關無法代為申請調查。",https://www.setn.com/News.aspx?NewsID=1126574&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,,"[76, 167, 274, 383, 456, 507, 579, 634, 680, 817, 1008, 1086]",2022-06-05 22:39,2022,6,5,22,39
重新橋區間測速啟用! 議員預言:將成機車貪吃蛇,"新北市三重重新橋機車道新莊往三重方向,今天(5日)正式啟用,目前仍為宣導期,正式執法日期將另行公布,由於該處為全台首處採取區間測速的機車道,且只有單邊執法,日前經媒體報導後,也引起熱議,更有網友開玩笑質疑「往天龍國比較尊貴?」新北市議員陳明義2日在新北市議會質詢時,也認為該處設置並不妥當,更直言該處會成為「機車貪吃蛇」,而轄區三重分局則表示,今天截至目前為止並未有車禍發生。新北市交通警察大隊、道安會報小組、新北市交通局等單位認為重新橋機車道(新莊往三重方向)事故頻繁,分析肇因及碰撞型態後,發現多為未保持安全車距及超速造成追撞事故,除完成橋梁系統化標誌整理及破損設施修復外,也建置區間平均速率執法設備,該路段限速40公里/小時,於今天(5日)上路,目前為宣導期,並不會開單,正式執法日期將再行公布。重新橋區間測速消息經媒體披露後,也引起各界討論,「騎這裡還要邊騎邊低頭注意時速,反而更危險」、「不否認超速導致駕駛可反應時間變短,但更根本原因是下橋處有Y字型叉路&駕駛未注意車前狀況吧,不先處理這兩點只會一味區間,晚上一台機車都沒有,然後只能騎40,真的太可笑」、「直接禁行就不會車禍了啊」。此外,由於僅限制新莊往三重方向,另一端並未設置區間測速,也引起網友討論開玩笑直言「往天龍國(指台北市)比較尊貴?」對此,警方也表示,經過分析後,發現新莊往三重方向車禍較多,才會先行設置單邊,後續也將會研議。更有民眾認為,區間測速也有所謂的寬容值,可以騎到時速50甚至60公里還不會被開罰,但一般民眾並不知道,因此,將來可能出現騎士們都以40公里不到的車速來騎乘,甚至騎術不佳的騎士,為了維持速限,不斷低頭看時速表,反而未能注意前方車況,進而追撞的事件,可能會不斷發生。新北市議員陳明義2日在議會中,也針對重新橋區間測速相關問題,質詢市長侯友宜、交通局長鍾鳴時指出,該處裝設區監測速「會出事」,認為該處裝設區間測速不妥,直言台北橋有知名的「機車瀑布」,將來重新橋會出現「機車貪吃蛇」,機車一台接一台,會中侯友宜也回應,將會以安全為最大考量,持續蒐集相關資料、繼續評估與檢討。轄區三重分局則表示,今天重新橋並無機車車禍事故發生,整體車流狀況良好,後續仍會觀察車流狀況。",https://www.setn.com/News.aspx?NewsID=1126521&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,游承霖,"[188, 351, 497, 600, 731, 883]",2022-06-05 18:40,2022,6,5,18,40
不甩恩恩爸神隱?侯友宜:盡全力給予恩恩爸媽關懷及給資料,"【6/0515:26發稿|18:33更新:新增影音】新北市2歲男童恩恩染疫離世後,家屬質疑因延誤就醫導致憾事,恩恩爸爸要求新北市府提供錄音,但新北市長侯友宜卻都沒有出面說明,遭質疑神隱,對此,行政院長蘇貞昌今(5)日回應時表示,此事讓人深感遺憾和痛苦,同時喊話新北市盡速給恩恩爸媽需要的資料。對此,侯友宜表示,新北市對於恩恩爸爸跟媽媽一家人會盡全力給予關懷,並按照相關規定提供資料給恩恩爸爸。至於外面聲音,大家都是好意,都是全力關懷恩恩爸爸。新北2歲童恩恩染疫病逝,恩恩父親為求真相,欲向新北市府尋求「消失的81分鐘通聯記錄」,惟新北市府至今未全力協助,更拒讓其將音檔帶回家惹議。民進黨副秘書長林鶴明並質疑,恩恩爸淚崩令人不捨,新北市長侯友宜卻神隱爽過端午?蘇貞昌上午也表示,此事讓人深感遺憾和痛苦,同時喊話新北市盡速給恩恩爸媽需要的資料。新北市下午舉行防疫記者會,媒體詢及,侯友宜遭質疑神隱過端午,上午蘇貞昌回應恩恩爸事件,他說深感遺憾和痛苦,似乎向您喊話趕快提供父母相關的資料,會不會覺得成為眾矢之的?對此,侯友宜表示,新北市對恩恩爸爸跟媽媽一家人會盡全力給予關懷,並按照相關規定提供資料給恩恩爸爸,尤其希望由衛生局消防局兩局局長,當面跟恩恩爸爸做來龍去脈說明,讓恩恩爸爸了解。至於遭批神隱,侯友宜表示,外面聲音,大家都是好意,都是全力關懷恩恩爸爸。",https://www.setn.com/News.aspx?NewsID=1126423&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,盧素梅,"[1, 5, 10, 12, 13, 18, 25, 26, 202, 221, 370, 453, 541]",2022-06-05 18:33,2022,6,5,18,33
蘇貞昌挺國際書展、自掏腰包買了35本書!購書清單曝光了,"行政院長蘇貞昌今(5)日參觀「2022台北國際書展」,沿途聽取各展區出版社代表解說,瞭解台灣文學發展歷史、特色文學作家與作品,同時愛書的蘇貞昌也自掏腰包購買35本書,展現濃厚的閱讀興趣,並盼透過政策的推動,戮力讓台灣書展、國內出版及文化獲得更好的發展,同時政府也會支持各種形式的台語文出版品,以協助國家語言的復振。蘇貞昌上午在行政院秘書長李孟諺、政務委員兼發言人羅秉成、政務委員黃致達及文化部部長李永得等人陪同下,參觀「2022台北國際書展」時,沿途聽取各展區出版社代表解說,瞭解台灣文學發展歷史、特色文學作家與作品,並不禁讚嘆文學世界多元豐富,可以讓前來書展的民眾徜徉在書香世界中,令人心曠神怡。愛書的蘇貞昌今天在台北國際書展流連許久,涉獵各種書籍,並自掏腰包購買《我們台灣人:台灣國民性探討》、《筆記濁水溪》、《阿鼻劍前傳〈卷一〉封印重啟》、《阿鼻劍前傳〈卷二〉風起八千里》、《阿鼻劍:三○週年紀念合訂本ABI-SWORD》等35本書,展現濃厚的閱讀興趣。另外,蘇貞昌逛展至讀書共和國及前衛出版社展區時,也特別購買《台語心花開:學台文超入門》一書,並強調優質的出版品,像是台語文藉由小說、繪本、漫畫、有聲書等形式出版,將有助於國家語言的復振,政府應多加支持。蘇貞昌此行參觀法國主題國館、讀字公民書區、文訊雜誌社、允晨文化、烏克蘭專區、聯合文學出版社、九歌出版社、印刻文學、經典雜誌社、讀書共和國、前衛出版社、大塊文化、開學文化、財團法人吳三連台灣史料基金會等展區,並與展區出版社代表們合影留念;此外,蘇揆在國立公共資訊圖書館所設置的展區,也體驗人工智慧(AI)藝術科技,現場以聲控及電腦鏡頭拍攝方式,配合電腦程式演算,立即分別呈現山水畫的意境與觀賞者的印象派自畫像,令人讚嘆。蘇貞昌購書清單如下:1、我們台灣人:台灣國民性探討2、史學與傳統3、彼岸花盛開之島4、筆記濁水溪5、墨水隱身6、出神入話:接地氣映人心的台灣民間信仰7、籽.木.林.森:台灣森林錄8、夜深人靜的小說家9、敵人的櫻花10、余英時評政治現實11、台語心花開:學台文超入門12、TheSmallBig台灣特有種1:跟著公視最佳兒少節目一窺台灣最有種的物種13、世界鐵道大探索1世界的蒸汽火車:200年火車分類學300輛蒸汽機車全圖鑑14、世界鐵道大探索2世界的觀光鐵道:精選30多個文化資產鐵道與15條觀光鐵道15、菜場搜神記:一個不買菜女子的市場踏查日記16、太喜歡歷史了!【給中小學生的輕歷史】1原始時代到西周17、怒海逆風島嶼行:台海戰亂世代的故事18、我在索羅門群島:台灣大使的美日戰場見聞錄19、歌唱臺灣:連續殖民下臺語歌曲的變遷20、中國西征:大清征服中央歐亞與蒙古帝國的最後輓歌21、末日:致命瘟疫、核災、戰爭與經濟崩盤,災難對人類社會的啟示22、第一響禮砲:美國首次獲得外交承認的獨立故事23、帝國的野心:十九世紀英俄帝國中亞大競逐24、空襲福爾摩沙:二戰盟軍飛機攻擊台灣紀實25、米機襲來:二戰台灣空襲寫真集26、阿鼻劍前傳〈卷一〉封印重啟27、阿鼻劍前傳〈卷二〉風起八千里28、阿鼻劍:三○週年紀念合訂本ABI-SWORD29、大開眼界(ISEETHAT)30、極地(2020年版)31、拜、請:信仰與文化的綻放32、偽造者:阿道弗‧凱明斯基的一生33、邁向屏東學:認識論、社會結構與社區營造34、TRY!柯子彰35、追憶文學歲月",https://www.setn.com/News.aspx?NewsID=1126487&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,盧素梅,"[157, 299, 404, 531, 740, 750, 878, 883, 924, 941, 963, 1036, 1173, 1298, 1316, 1319]",2022-06-05 17:05,2022,6,5,17,5
收到3封補寄譯文! 恩恩爸:最快明天去新北消防局聽錄音,"新北市中和2歲男童恩恩,今年4月中不幸確診過世,其父近期出面要求新北市衛生局等單位還原消失的81分鐘真相,而稍早林父也在臉書PO文指出,已收到新北市消防局補寄的另外3通「消防局回電給我老婆」的通話譯文,最快明天上午可以去消防局聽錄音。恩恩爸稍早在臉書發文指出,今天(5日)下午家裡已經有收到新北市政府消防局補寄的另外三通「消防局回電給我老婆」的通話譯文,待會就會開始整理消化,連同先前已收到的5通「我老婆撥給消防局」的譯文、消防局和衛生局的橫向簡易紀錄、1922的通話錄音,這幾個手邊資料,一起釐清一些時序。他也指出,應該最快明天早上就可以去消防局聽錄音,剛剛得知補寄的譯文已經寄到我家後,也先傳了訊息給衛生局高副局長以及消防局專員,提了下週我可以過去的幾個時間。他也指出,整理新北市提供的書面資料時,也發現了幾段聯繫上空白的時間,會在聽完消防局錄音後,持續整理;最後他也提到,衛福部有說過1922的橫向聯繫資料有「準備好了」,但我還沒有接到通知去拿資料,希望缺漏的那一塊資料可以一併拿到。恩恩爸臉書全文:大家午安,今天下午我家裡已經有收到新北市政府消防局補寄的另外三通「消防局回電給我老婆」的通話譯文待會忙完我就會開始整理消化,連同先前已經收到的5通「我老婆撥給消防局」的譯文、消防局和衛生局的橫向簡易紀錄、1922的通話錄音,這幾個手邊資料,一起釐清一些時序。我想,應該最快我明天早上就可以去消防局聽錄音,我剛剛得知補寄的譯文已經寄到我家後,也先傳了訊息給衛生局高副局長以及消防局專員,提了下週我可以過去的幾個時間。我在整理新北市提供的書面資料時,也發現了幾段聯繫上空白的時間,我會在聽完消防局錄音後,持續整理另外還有衛福部6/1有說過1922的橫向聯繫資料有「準備好了」,但我還沒有接到衛福部通知我去拿資料。因為下周會去新北聽錄音,希望衛福部我還缺漏的那一塊資料可以一併拿到。看更多新冠肺炎(COVID-19)疫情最新報導:https://bit.ly/37gsay1★三立新聞網提醒您:防範新冠肺炎,外出時應配戴口罩、勤洗手,並遵循疾管署最新防疫指引。",https://www.setn.com/News.aspx?NewsID=1126476&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,游承霖,"[117, 254, 332, 445, 453, 501, 582, 660, 707, 791, 794, 810, 815, 837, 838, 847]",2022-06-05 16:25,2022,6,5,16,25
連徐國勇都揮毫 全國書法賽徵件:傳統書法、硬筆書寫都收,"鼓勵研習正體國字書法,認識傳統文化,提升人文素養,進而融入生活,由內政部指導,桃園龍德宮主辦之龍德宮「媽祖心、龍德情」全國書法比賽,開始徵件。為廣泛促進全國各階層皆能參加,比賽分有小學生組、國/高中組及大學/社會組,並為推動硬筆書寫,還設有硬筆書寫組。供奉四媽祖,位於桃園蘆竹的龍德宮,一向注重文化傳承及人文素養的培育工作。新建的龍德宮廟堂,巍峨高大,屋頂所立四媽祖神像,在高速路上即能瞻仰,宮廟內所有對聯及相關文字,全以書法名家張炳煌所書各體書法作品刻製,全廟儼然書法殿堂。為推動正體國字及將書法融入生活,龍德宮特邀長年推動書法極有成績的中華民國書學會策劃承辦,除以毛筆書法為主的三組外,特別規劃方便書寫的硬筆書法組。書法三組均以初選和決賽進行;參加者須在7月28日前以自書作品寄達龍德宮,經過評選後,9月17日進行決賽。硬筆書法組則只需以一般紙張,書寫論語內容,在8月15日前寄至龍德宮,不須決賽,直接進行評審;期以方便參加,藉以推廣硬筆書法。這項比賽在縝密的規劃下,首創在同一比賽中,以傳統書法之外,設立硬筆書寫評比。參加決賽者發給交通補助,並進行公益園遊會。賽後隨即評審並頒獎,獎金及獎品均甚豐厚。歡迎參照比賽辦法規定,踴躍參加。詳細辦法刊載龍德宮及中華民國書學會官方網站。",https://www.setn.com/News.aspx?NewsID=1126419&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,綜合,"[126, 238, 424]",2022-06-05 15:58,2022,6,5,15,58
快訊/確診數下降 侯友宜:新北市已從相對高峰、趨緩當中,"中央疫情指揮中心今(5)日公布新增62080例本土個案,其中,新北市9026例,新北市長侯友宜今(5)日下午召開疫情記者會,居家照護執行中65,341人,居家隔離列管數21,242人。侯友宜並表示,從整個確診人數的曲線來看,新北市已從相對的高峰,慢慢往下,在趨緩當中,所以這幾天很清楚,確診人數已經從1萬到這兩天的9千多人,我們除了希望持續觀察以外,更要掌握疫情,在下降趨勢中的整個變化,以確保新北市的疫情可以往下走。",https://www.setn.com/News.aspx?NewsID=1126415&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,盧素梅,[],2022-06-05 15:45,2022,6,5,15,45
快訊/疫情下降!北市+4452 明起幼童免費領快篩,"台北市今(5)日新增4452例本土病例,6月4日確診者居家照護人數4萬7501人;管理中居家隔離人數5428人。台北市衛生局提醒,明日開始2015年9月2日(含)以後出生之學齡前孩童,均可至台北市實名制販售據點免費領取一份5劑家用快篩試劑。衛生局表示,適逢端午連假期間,考量部分民眾疫苗接種需求,今(6)日於中正紀念堂接種站仍有提供兒童接種服務,有需求之家長可多加利用;如已透過北市疫苗預約系統預約接種之家長,可依預約時段前往接種,提醒應攜帶健保卡前往,並完成意願書簽署,由醫師評估後完成接種。台北市近一週確診病例數持續下降,北士科及中正紀念堂兩處車來速防疫急門診,仍有提供有症狀或快篩陽民眾,篩檢、看診及取藥服務。衛生局呼籲,請民眾先行網路預約,再至現場篩檢或就醫,以避免久候及降低群聚感染風險。衛生局說,6月6日起擴大實施幼兒家用抗原快篩試劑,原適用對象為2016年1月1日以後出生之幼兒,擴大為2015年9月2日(含)以後出生之學齡前孩童,均可至台北市實名制販售據點免費領取一份5劑家用快篩試劑。領取免費幼兒家用抗原快篩試劑,或購買公費家用快篩試劑時,以身分證單雙號進行分流,請民眾多加注意。衛生局提醒,台北市健康服務中心並未提供公費快篩試劑販售服務,另也可至藥局、藥粧店、超市、賣場等自費購買。衛生局指出,為提供更便民服務並縮短接觸者匡列時間,衛生福利部疾病管制署「數位新冠病毒健康證明」系統新增「補填同住親友及下載居隔書證明」功能,於5月1日至5月25日確診之民眾,且有使用過確診個案自主回報疫調系統之確診者,可至PBBS平台(http://pbbs.cdc.gov.tw)修補同住親友資料,並下載居隔證明書,上限為10位。同住親友適用5月17日起免居家隔離(0+7)方案者、或補填之同住親友三個月內曾經確診,則不必填列。台北、新北及桃園開放時間為6月4日至6月20日,其他縣市為6月6日至6月20日,如有需求之民眾,請多加利用。衛生局呼籲雖然確診者人數下降,端午節連假期間仍然要提醒市民遵循中央流行疫情指揮中心防疫規範,請做好勤洗手、戴好口罩、維持社交距離等個人防護,持續自我健康管理。提醒一般無症狀民眾請勿前往社區採檢站或急診,避免造成交叉感染,相關疫情訊息可瀏覽台北市嚴重特殊性肺炎(COVID-19)專區(https://reurl.cc/n1xjr1)查詢或撥打台北市防疫專線(02)2375-3782或1999市民熱線詢問,相關接種訊息可查閱北市疫苗接種訊息網址:https://reurl.cc/o1Y8Vv。",https://www.setn.com/News.aspx?NewsID=1126461&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,高逸帆,"[120, 349, 551, 715, 820]",2022-06-05 15:43,2022,6,5,15,43
恩恩爸最快明聽音檔!新北市消防局:會配合安排,"【6/0515:26發稿|18:33更新:新增影音】新北市中和區2歲童恩恩染疫離世,恩恩爸爸希望能拿到與新北市消防局的通聯錄音檔,不過遭以隱私為由婉拒。恩恩爸爸今(5)日稍早表示,最快明天會去消防局聽錄音檔。新北市消防局長黃德清指出,會配合安排。恩恩爸爸表示,「我想,應該最快我明天早上就可以去消防局聽錄音。」他得知補寄的譯文已經寄到他家後,也先傳了訊息給衛生局副局長高淑真以及消防局專員,提了下週他可以過去的幾個時間。黃德清今在新北疫情記者會上表示,當時恩恩媽媽報案的錄音內容都準備好,隨時都可聽,可以派員去新竹,或是恩恩爸來消防局都會配合安排。黃德清重申,基於個人隱私,119與衛生局、雙和醫院的通話錄音,因為恩恩爸爸不是雙方對話的通話者,所以不會提供。不過,他說,事實上已經有把雙方處置作為的橫向聯繫資料給恩恩爸爸。新北消防局日前說,無法提供錄音檔拷貝帶回,主要是基於政府資訊公開法第18條,政府資訊屬於「公開或提供有侵害個人隱私、職業上秘密或著作權人之公開發表權者」,應限制公開或不予提供。有媒體代替恩恩爸爸提問,消防局的錄音檔,許多律師都打臉市府說法,認為不合理,公務人員執行公務不適用隱私權嗎?新北市府還是堅持嗎?黃德清僅對此表示,「說法我們都尊重。」",https://www.setn.com/News.aspx?NewsID=1126454&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews,三立,,高逸帆,"[1, 5, 10, 12, 13, 18, 25, 26, 123, 210, 274, 361, 449, 513]",2022-06-05 15:26,2022,6,5,15,26
