title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
基隆城市博覽會將登場 民眾黨嗆:硬辦是當林右昌「畢業典禮」政績?,"本土疫情情況仍嚴峻下,基隆城市博覽會將於10日至19日登場,民眾黨立院黨團總召邱臣遠6日表示,這次城市博覽會四大展區、上百場展演,橫跨大半個基隆市,但中央與地方活動規畫「漏洞百出」,他與5位黨籍議員參選人6日上午召開記者會,就城市博覽會的防疫、觀光效益和交通3大重點提出質疑,要求中央與基隆市政府提出因應,要兼顧防疫與民眾觀展意願。邱臣遠表示,城市博覽會原訂4月中旬登場,因疫情延至6月10日,但台灣疫情仍在高原期,過去1星期全台單日本土確診病例至少超過6萬例,基隆市平均每天將近1500人確診,基隆市長林右昌宣布「2022城市博覽會準備好了!」,卻看不到市府團隊對疫情的整體評估、防疫規劃與配套措施,中央政府是否提供防疫協助也打上問號。邱直言,希望林右昌宣傳政績的時候,也要做好防疫;市府也要做好參觀人數與遊客後續效益評估,避免花大錢辦展卻無法達到疫後振興目的。邱更指出,林右昌去年8月稱,城市博覽會主要客群,將來自北北基桃首都生活圈,交通計畫會延伸至雙北,但實際檢視博覽會接駁路線,全都設在基隆市內,等同林右昌承諾跳票;邱提醒,基隆市曾歷經228連假市區交通幾近癱瘓的惡夢,邱呼籲基隆市政府尋求交通部協助,找雙北交通單位合作、規劃,避免塞車慘況重演。中山區市議員參選人徐佑昇表示,即便城市博覽會已經延期舉辦,但大量市內重要工程卻還沒完成,如旭川河工程還沒有完工,對要去崁仔頂漁市場觀光的遊客會留下不良印象,周邊照明不足,晚上有治安疑慮。另外,許多區域違停嚴重、垃圾亂堆,市容不佳,但市府視而不見,徐表示,林右昌冒著風險硬辦活動搏版面,要當成自己的「畢業典禮」政績,卻缺乏相關配套,也令人憂心疫情再度衝擊基隆。中正區市議員參選人林毓峯指出,四大展區主要在中正區,估湧入大量遊客,但要進入市區星巴克喝咖啡,會經過「基隆爛路排行榜第1名」有超過300個坑洞,會讓旅客看待「魅力基隆」變「沒力基隆」;正濱漁港彩色屋附近,多艘廢棄大型遠洋漁船,船底生鏽漏油、船艙堆滿注射針頭和垃圾,除了影響海洋生態,也成為當地治安死角,民眾多次反映市府,事隔1年至今都沒有改善,市府也要注意基礎建設和環保議題。另外,市府規劃6條接駁路線,但其中4條沒有結合停車場資訊,基隆市平常假日車位已不夠,城博會一位難求會更加嚴重。信義區市議員參選人紀珈直言,基隆疫情仍嚴峻,這次城博會,市府通知參加的有學校學生、各里里長,市府是否考慮到群聚風險?且除了廣告宣傳,防疫計畫全都不清不楚,是否有醫療人員派駐、有無掌握鄰近醫療資源、若無法保持社交距離,會不會採行總量管制,市府應說明白。仁愛區市議員參選人李依芩表示,活動宣傳有待加強,實際透過Google搜尋,很難找到城市博覽會官網。動線規劃將人流直接導入市區,建議先將人流、車流引導至市區外圍停車場,再利用接駁車接送,避免人潮壅塞。安樂區市議員參選人劉韋巡指出,基隆市政府明顯「雙標」,因為疫情之下,許多活動不是已經延期就是停辦,連6月3日的端午節龍舟賽、6月26日的外木山長泳活動都因避免群聚喊卡,只有城市博覽會如期舉行,令人懷疑林右昌不顧疫情,硬把城博會當成自己「畢業典禮」的政績。民眾黨團呼籲,中央主管機關面對即將舉辦的大型活動要有實質作為,比照跨年活動期間,敦促地方政府落實防疫,交通部也應提出計畫,解決城市博覽會期間可能湧入數十萬、甚至是近百萬人次的人潮,市府應主動尋求雙北合作做好住宿與交通規劃,防患未然,才能讓賓主盡歡。",https://www.storm.mg/article/4366335,風傳媒,政治,潘維庭,"[166, 382, 527, 706, 949, 1074, 1173, 1300]",2022-06-06 16:49,2022,6,6,16,49
「國民黨從來不是pro-China政黨!」朱立倫:「pro-USA」非常清楚,"正在訪美的國民黨主席朱立倫,除了前往美國史丹佛大學「胡佛研究所」與戴雅門(LarryDiamond)、祁凱立(KharisTempleman)等學者專家交換兩岸關係、世界局勢等意見,並預定在美東時間8日上午10時舉行國民黨駐美國代表處揭牌儀式。朱立倫接受媒體訪問時表示,國民黨從來不是一個「pro-China」的政黨,pro被認為是「親中反美」,這是民進黨貼給國民黨的標籤。朱立倫接受總部設在美國的《自由亞洲電台》的《觀點》節目專訪,在釋出的預告片段中,朱立倫強調,至少在他擔任國民黨主席之後,很清楚告訴美方朋友,講「pro」,國民黨是「pro-USA」,「pro-America」,這是非常清楚的,親美路線從國民黨創黨開始,歷任黨主席,即便在野都是親美立場。朱立倫表示,對於兩岸,從過去的對抗、戰爭到冷戰,到現在和平的交往交流,這是國民黨一路走來的基本態度,但國民黨從來不是一個「pro-China」的政黨,這個pro被認為是「親中反美」,是民進黨貼給國民黨的標籤。由於受訪當天正逢六四天安門學運33周年,朱立倫強調堅持中華民國,最重要的基礎就在於民主自由,民主自由是一個政治制度的選擇,為什麼走到21世紀的今天,大家開始對專制體制,或威權體制開始看到它的危機風險,包括俄羅斯最近對烏克蘭戰爭、北京的一些authoritarian(專制)的作為,還有在香港發生的事情,包括上海封城事件,都會讓民眾覺得民主自由的可貴和重要性。朱立倫強調,中華民國的立國精神,從國父孫中山開始就是民主自由,跟美國的民有、民治、民享,跟三民主義是一致的,可以看得出來堅定的立場到今天沒有改變。六四從1989年走到今天33年,「我們對當時願意為了民主自由發聲的很多青年學子非常尊重」,因為只要願意為民主自由站出來的朋友,堅定他的立場,都與國民黨創黨精神一致,「不論今天六四、到香港、到上海,或是到各地發生的堅持民主自由的立場上,國民黨一定是跟大家站在一起。」朱立倫提到,國民黨在華府駐美代表處重啟,跟所有美國朋友宣告「Wearehere.」隨時有專員跟大家溝通,以此作為重要的宣誓作用,不只在華府,在台北的國民黨中央黨部還有國際事務部,同仁也隨時支援華府,隨時變成一個團隊,平時讓美方的朋友,不管是行政部門、國會、學界,甚至是智庫很多活動都能共同參與,讓大家看到、並聽到國民黨的聲音,透過回復代表處,讓大家看到國民黨願意跟美國朋友站在一起的決心。",https://www.storm.mg/article/4366573,風傳媒,政治,潘維庭,"[42, 61, 187, 330, 434, 613, 818, 850, 853]",2022-06-06 16:47,2022,6,6,16,47
「疫後新生活從基隆開始!」林右昌啟用國門廣場,"基隆火車站前的「國門廣場」歷經多年規劃整建,6日上午由基隆市長林右昌率領基隆市議會議長蔡旺璉、民進黨立委蔡適應等人,齊力解開繩索、撤除圍籬,宣布國門廣場正式啟用。林右昌除了預告國門廣場將在10日迎來2022城市博覽會,並宣告基隆過去是台灣的起點城市,疫後新生活也將「從基隆國門開始」。林右昌指出,基隆近3個月來走在新冠肺炎疫情的全國最前線,沒有北北桃直轄市的人力與資源,也沒有其他縣市經驗可以參考,遭遇了最多不可知的挑戰。基隆市新增確診數5日首度降至千例以下,是全國縣市中第5低、本島第2低,率先脫離疫情高峰,持續穩健收斂下降。林右昌表示,全國上下齊心防疫,是為了回復正常生活,基隆市府啟動國門廣場,就是要用國門廣場開啟希望,驅逐百年瘟疫,療癒受疫情迫害的民心,同時宣告基隆是台灣的起點城市,疫情後的新生活,將從基隆國門開始。林右昌提醒,國門廣場是國家門面,比照海洋廣場禁止腳踏車、溜冰鞋以及滑板使用,除了歡迎各地的市民、朋友來到這裡享受內港親水休憩廊帶,也呼籲市民務必展現最高的公民素養珍惜愛護。國門廣場開幕儀式由基隆市府精心設計,並由林右昌、蔡旺璉等人一同齊心擊鼓象徵團結驅除瘟疫,以及呂師父龍獅團的雙獅帶領繞行國門廣場一圈為台灣祈福、為基隆加油,最後再由林右昌、蔡旺璉以及蔡適應等人齊力解開繩索、撤除圍籬,將國門廣場獻給基隆市民。",https://www.storm.mg/article/4366427,風傳媒,政治,鍾秉哲,"[142, 264, 363, 449]",2022-06-06 15:10,2022,6,6,15,10
打亂共軍攻台節奏!海軍不對稱戰力代表水雷現身 快速布雷艇實彈訓練,"為強化不對稱作戰能力,戰時遲滯敵軍兩棲登陸行動進程,海軍國艦國造政策打造4艘快速布雷艇,期藉設置在艇上的自動化系統,提升布雷效率,達成前述目標,為此海軍第一布雷艇中隊持續就水雷裝載實施訓練,官兵作業情形經海軍司令部臉書發布曝光。海軍司令部指出,第一布雷艇中隊日前執行水雷裝載訓練,官兵發揮團隊默契,順利完成。文末註記的「布雷戰力!!」字樣,展現這支近年配合快速布雷艇服役成軍的新單位,深刻體悟自身在台海戰場投入所代表的戰術甚或戰略意義。隨文發布的畫面顯示,官兵將水雷自岸上吊掛進快速布雷艇艇身中段作業區,並放置在該區的布雷軌道上,完成後,可持續透過自動化系統,將準備投放入水的雷體,進一步輸送至指定位置;以官兵實施吊掛演練的美造6號15型繫留雷而言,一共有6枚在軌道上待機,圖中另可見萬象系列水雷於右側與後方較遠處。海軍戰時除擔負制海作戰任務,爭取局部制海權外,考量共軍犯台要想將大兵力和主戰裝備投射至台灣本島陸地,仍以大規模兩棲登陸作戰行動可能性最高,不僅地面部隊須前推至岸際陣地部署,結合各式武器,痛殲進入射程範圍之敵船團,海軍在其可能登陸處的周邊海域布放水雷,也能發揮遲滯共軍行動進程的意義;考量共軍犯台首重速戰速決,避免給外軍介入機會,一旦航道出現數量不明的水雷,共軍必然得讓掃雷艇先行,以開闢安全航道,時間增加,行動變數大增,從而使國軍迫使敵登陸失敗的目標得以先下一城。水雷是海軍不對稱戰力的代表性品項之一,未來是否藉對美軍購途徑持續提升,目前還有待觀察,惟投放載台的快速布雷艇已有2艘服役,另有2艘在路上,布雷戰力與效率處於上升階段。新艇優勢在於從吊掛到投放,過程高度自動化,1、2兩艇年初成軍,負責操作的布雷艇中隊也同時成立,成為海軍近年除高效能艦艇後續艦(沱江艦量產型)外,不對稱戰力組建的亮點。",https://www.storm.mg/article/4366465,風傳媒,"政治,軍事",蘇仲泓,"[114, 218, 358, 590]",2022-06-06 14:49,2022,6,6,14,49
"中央規定確診去世24小時內火化?鄭運鵬:指揮中心未要求,是部份殯葬業者的說法","本土疫情迄今兩年半,累積近3000人死亡,大部分確診死亡者都在24小時內火化。民進黨團幹事長鄭運鵬指出,事實上,指揮中心只要求24小時通報和雙層隔離,沒有要求24小時火化。鄭運鵬也說,他今天早上剛好接到一通陳情電話,內容是家長昨天在台大醫院往生後確診,家屬希望可以帶回安置,殯葬業者告訴家屬要中央的公文,經過詢問,這是部份殯葬業者的標準說法,家屬通報地方政府後,做好雙層隔離,都尊重家屬安置,但是目前卡在新北市板橋殯儀館不願意大體入櫃,請新北市政府可以通案查明協助。鄭運鵬出示公文表示,從疫情開始到現在,所有確診和往生個案,都要先報地方政府再通報中央,所以所有的狀況國民黨執政的縣市長一定知道,中央無法隻手遮天,絕對不會發生國民黨質疑去年死亡人數多1萬人是染疫黑數的狀況。鄭運鵬強調,事實上,指揮中心只要求24小時通報和雙層隔離,沒有要求24小時火化。但是去年6月8日陳宗彥副指揮官就在記者會上說明,實務上有相關機關和業者為了避免傳染,有24小時內火化的做法。這是台灣的衛生和防疫觀念做得徹底,即使不是政府規定,所遇到的家屬也多能體諒,各方不要苛責相關人員。鄭運鵬說明,新冠肺炎(武漢肺炎)雖然歸在第五類法定傳染病,大家從照片的防治措施上可以看得出來,和伊波拉病毒放在不同的欄位,伊波拉規定24小時火化,肺炎只規定24小時通報地方政府。鄭運鵬說明,對往生者,公文和防治規範甚至寫明火化或報請地方政府深埋,深埋的規定就是考量到如果有特殊風俗或者宗教因素不能火化者,可以報請地方政府准許深埋。從這裡也可以見得並沒有強制24小時火化的規定。中央流行疫情中心指揮官陳時中昨出示公文指出,從未要求殯葬者這樣做,不知媒體是沒看懂,或故意做文章,這個公文很容易讓大家誤解,盡快找業者討論,做到滿足家屬願望,並讓從業人員安全的處理方式。此外,立法院副院長蔡其昌今號召企業界共同捐贈海線童綜合醫院2000件防護衣,希望集結眾人之力作為醫護人員堅強的後盾。",https://www.storm.mg/article/4366302,風傳媒,政治,黃信維,"[86, 233, 336, 479, 568, 667, 760]",2022-06-06 13:30,2022,6,6,13,30
斯洛伐克訪團來台 民進黨:感謝連續2年支持台灣參與WHA,"斯洛伐克國會副議長勞倫契克(MilanLaurencik)、國會友台小組主席歐舒斯基(PeterOsusky)議員及布拉提斯拉瓦(Bratislava)省省長德若巴(JurajDroba)等國會領袖及重要地方首長聯合組團訪問台灣,民進黨發言人謝佩芬今(6)日表示,可見台灣與斯洛伐克中央及地方政府皆維持友好情誼,誠如副議長勞倫契克抵台時所說,「斯洛伐克支持台灣,這次的訪團就是明證」,表達誠摯歡迎。謝佩芬指出,勞倫契克副議長及友台小組主席歐舒斯基均長期支持台灣;此次訪團成員還包括外交、國防、財政及歐洲事務四個委員會的跨黨派國會議員席曼諾娃(AnnaZemanova)、列霍茨基(TomasLehotsky)、齊阿克(MiroslavZiak)、史丹奇克(AndrejStancik)。斯洛伐克國會去年於外交委員會首次通過支持台灣參與「世界衛生大會」(WHA)決議案後,今年外交、衛生及歐洲事務三個委員會更於一周內連續通過三個支持台灣參與WHA的決議案。對於斯洛伐克國會對台灣的強勁支持,民進黨再度表達感謝。另外,謝佩芬進一步表示,布拉提斯拉瓦省省長德若巴(JurajDroba)、馬拉基(Malacky)市市長瑞哈(JurajRiha)等重要地方首長的到訪,更顯示台斯關係的全面發展。德若巴省長擔任國會議員期間就曾三次訪問台灣,此行是第二度以省長身分訪台高雄市於2020年底捐贈布拉提斯拉瓦省30萬片口罩,更開啟台斯兩國地方政府間的深厚情誼。謝佩芬指出,去年9月,斯洛伐克政府將捐贈給台灣的疫苗由1萬劑增加為16萬劑,台灣人民點滴在心頭。很高興看到在去年12月斯洛伐克經濟部次長葛力克(KarolGalek)率團訪台後,此一重要訪團來訪。不論是面對疫情或變動中的國際局勢,台灣與斯洛伐克基於雙方共享的民主價值,持續發展更加緊密夥伴關係。",https://www.storm.mg/article/4366251,風傳媒,政治,黃信維,"[19, 48, 88, 199, 275, 295, 317, 334, 343, 454, 484, 514, 622, 699]",2022-06-06 13:26,2022,6,6,13,26
羅智強恐退黨選桃園市長?張善政僅稱「祝福」:盼他行腳身體健康,"國民黨桃園市長參選人爭議尚未解,面對前台北市議員羅智強喊話要前行政院長張善政要「補正程序正義」,應該退回徵召進行初選民調。張善政6日上午在桃園行程時受訪後回應,現階段就是「做我的事」,一旦答應徵召就努力向前,做好自己本份,好好把選戰打好,是自己唯一的目標。張善政6日前往桃園市蘆竹區五福宮參拜,在五福宮主委陳宗賢、市議員褚春來、張桂綿及多位里長的陪同下參香祈福,祈求國泰民安,並與桃園鄉親舉行座談會請益,場面熱烈,張表示,今天來蘆竹的目的就是要勤走基層跟大家交朋友,準備為桃園打拚。羅智強昨天呼籲張善政應補正程序正義,向黨中央要求辦理初選,羅原訂要連續3天張善政「獻策」,今早又突然表示張善政已「軟性拒絕」自己的建議,因此自認沒必要再為難張善政,接下來會專心行腳桃園。媒體問張關於羅提到的程序正義問題,張表示,答應徵召就努力向前,做好自己的本份。好好把選戰打好是自己唯一目標。媒體也問,是否認為先前黨中常會已經通過、徵召即算是一種程序正義?張善政重申,接受徵召就是努力向前,只看將來。媒體也問張,是否擔心羅智強退黨參選,張則表示「祝福他」;由於羅智強還要繼續在桃園行腳,張也表示,希望羅注意身體健康,畢竟羅才剛結束自主隔離,請他多保重,自己對羅純粹一片善意、好意,也很感謝市議員詹江村的支持。張也感性表示,一路走來,從上禮拜到這禮拜,自己感覺非常溫暖;里長、議員都出來相挺,非常感激,感覺非常溫暖。媒體也關切張,有沒有得到桃園知名人士的支持,張則回應,不是知名不知名的問題,每一位桃園鄉親都很重要,今天才第2個行程,就已經聽到很多地方對鄉親對於建設及施政的建議,非常受用。被問到羅智強在台灣對訪美的黨主席隔空喊話,自己是否跟朱聯絡?張僅回應,「現在通訊這麼發達,朱主席隨時都有掌握國內的狀況。」",https://www.storm.mg/article/4366206,風傳媒,政治,潘維庭,"[128, 241, 334, 442, 599]",2022-06-06 12:21,2022,6,6,12,21
朱立倫「赴美面試」第一站!史丹佛大學與學者座談 稱藍年底選情樂觀,"國民黨主席朱立倫訪美,第一站於美西時間6月2日上午前往美國史丹佛大學「胡佛研究所」(HooverInstitution),與戴雅門(LarryDiamond)、祁凱立(KharisTempleman)等學者專家,就台海安全、兩岸關係及疫情後的世界局勢交換意見。朱立倫還提及台灣年底縣市長選舉,他認為,國民黨的選情審慎樂觀,反而是民進黨在北部目前還無法整合提名候選人,國民黨有信心依靠理性路線與政策願景爭取大多數民眾支持。朱立倫在與美國學者專家的座談會上致詞表示,他上一次來到史丹佛大學是3年前,當時還沒有發生疫情,非常高興3年後再與大家會面,胡佛研究所與國民黨有長久淵源,作為拜訪第一站格外有意義,而今天有來自政治、歷史、媒體、軍事各界的翹楚,他非常珍惜實體見面的機會,也期待與大家深入交流意見。與會美國學者專家也提出對於台灣年底地方選舉的關切。朱立倫表示,目前國民黨除在地方有超過3分之2縣市的執政權外,也陸續提出優秀候選人挑戰收復曾執政的直轄市與各縣市,對年底選情是審慎樂觀,反而是民進黨在諸多重要縣市,特別是北部目前還無法整合提名候選人,國民黨有信心依靠理性路線與政策願景爭取大多數民眾的支持。座談會中也探討亞洲的民主現況,朱立倫說,南韓與菲律賓今年的總統選舉都有相當令人驚奇的結果,南韓選擇了保守政黨執政並準備進一步重啟核能、菲律賓也因為期待經濟發展因素選出政治世家後人,顯示民意持續改變,候選人因素也相當吃重,周遭國家的民主發展,也都有可能多少影響台灣的選舉。對於美方學者提問如何描繪國民黨所扮演的角色?朱立倫強調,國民黨無論從歷史價值淵源還是現實當中曾經並肩作戰的記憶,都是與美國擁有緊密連結的親美政黨,100年來持續對抗共產主義,與中共做價值與制度的競爭,同時依然願意與中國大陸民間維持溝通,更曾經浴血奮戰保衛台灣,至今不變,無論面對何種威脅進犯,國民黨都把捍衛中華民國、保衛台灣放在第一要務,因此能夠扮演追求台海和平的穩定力量。另外美方學者也希望朱立倫與訪團可以給台灣研究者社群提供建議,朱立倫則表示,這次訪美就是希望透過重啟駐美代表處,擴大與美方各界的溝通,才能更完整呈現台灣內部整體的聲音,不為少數人或特定政黨壟斷,他也期待這樣的作為可以提供台灣研究者更平衡的視角。該次出席與朱立倫訪問團座談的美方學者,包括國際知名的民主理論大師戴雅門、印太問題專家祁凱立、亞洲協會美中關係中心主任夏偉(OrvilleSchell)、專攻地緣政治的學者歐斯林(MichaelR.Auslin)、退役四星上將詹姆斯‧艾理斯(JamesO.Ellis,Jr.)、歷史學家譚安(GlennTiffert)、美國專欄作家、胡佛研究所訪問學者庫納賴吉斯(MarkosKounalakis)、人工智能技術研究員JamesTimbie、核能政策專家DavidFedor、南加大國際關係學者趙雅芬(ErinAshleyBaggott)以及史丹佛大學政治所博士候選人羅勉(JasonMianLuo)。",https://www.storm.mg/article/4366193,風傳媒,政治,晏明強,"[48, 71, 90, 210, 348, 500, 635, 822, 943, 1011, 1039, 1041, 1068, 1070, 1076, 1093, 1130, 1156, 1174, 1179, 1197, 1203, 1234, 1238, 1242]",2022-06-06 12:13,2022,6,6,12,13
羅智強3策突喊停!自爆遭「軟性拒絕」:言責已盡不再為難張善政,"前台北市議員羅智強5日獻策國民黨桃園市長參選人張善政,補正突襲式徵召的程序正義,才能化解地方反彈爭議打贏市長選戰,不過張善政並未正面回應,原本羅智強今、明2天還打算續提第2、3策,但今(6)日上午羅智強表示,張善政臉書貼文已「軟性拒絕」,他沒必要再提第2、3策去為難張善政,「我的言責已盡」。羅智強今天上午在桃園市議員舒翠玲、黃敬平陪同下,從平鎮區出發進行桃園祈福行腳行程。他表示,建議張善政參加初選民調,除補正程序正義外,更重要的目的是證明參選人的實力,對黨、對個人其實都有正面的意義,「但看來張善政並不作此想」。羅智強說,既然如此,他也沒有必要再提第2、3策去為難張善政,「我的言責已盡,我該說的話已經說了」,那就尊重張善政、尊重各方意見,接下來他會繼續專心走桃園,關心疫情為桃園祈福,希望各方都有智慧讓一切風風雨雨完美解決。媒體則詢問未來是否可能脫黨參選或是仍會幫張善政抬轎?羅智強則表示,他該說的話都說了,從今天起好好走桃園,「祝福國民黨找到更好的方式面對現在問題,也祝福張善政找到更好方式面對接下來的挑戰」。他強調,祝福就是希望國民黨好,自己未來下一步路,需要再沉澱一下,有新想法會對外說明。",https://www.storm.mg/article/4366144,風傳媒,政治,晏明強,"[146, 258, 365]",2022-06-06 11:52,2022,6,6,11,52
「陳時中不是馬上得天下的人!」學弟楊憲宏:不選後面有更好的位置,"九合一選舉將於年底舉行,與衛福部長陳時中都畢業於北醫牙醫系的資深媒體人楊憲宏於《有夢上水》節目中表示,陳時中不是那種可以「馬上得天下」的人,而是可以「下馬治天下」的人,陳時中已經是部長,如果不選,後面還會有更好的位置發揮,勸陳時中「不要去選舉」。楊憲宏也曾在其他節目中,建議陳時中不要出來選舉,因為陳時中不是要選舉的人。陳時中是打橋牌專家,很會算牌,且算得非常精準,「我希望他的政治前途可以算得跟他打橋牌一樣精準,該躲的要躲一下。」楊憲宏認為,陳時中作為專業人士,轉換跑道去參選不見得會好。希望陳時中不要被媒體效應迷惑,即使每天主持防疫記者會獲得全國關注,但知名度不等於得票率,且很多人都有知名度,但也沒因此去參選。楊憲宏分析,現在民進黨選舉非常「爾虞我詐,同志比敵人還可怕。」提醒陳時中絕對不要聽別人講,好像自己支持度、民調很高,這些全都是明日黃花。楊憲宏認為,陳時中不是那種可以「馬上得天下」的人,而是可以「下馬治天下」的人,選舉與治國的用人不同,陳時中是屬於可以治國的人,因此勸他「不要去選舉」。楊憲宏分析,陳時中已經是部長,如果不選,後面還會有更好的位置讓他發揮,以打橋牌為例,不是張張就要拿大牌和對方對陣,若對方拿出大牌,就該拿小牌對陣。前總統陳水扁表示,陳時中也該到做決定的時候了,楊憲宏作為學弟去勸學長,陳時中能否聽得進去是一回事,但只要陳時中作了決定,相信大家也會支持。",https://www.storm.mg/article/4365606,風傳媒,政治,風傳媒綜合報導,"[123, 216, 308, 376, 451, 524]",2022-06-06 08:20,2022,6,6,8,20
