title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
何時提名侯友宜、盧秀燕?朱立倫:尊重兩人最適當的時間,"國民黨年底縣市長人選提名近尾聲,爭取連任的新北市長侯友宜與台中市長盧秀燕,何時完成提名受關注。國民黨主席朱立倫今天在美受訪表示,兩人現在都在議會總質詢期間,也還有防疫工作,會尊重直轄市市長認為最適當的時間,黨再做相關提名。至於侯友宜主政的新北市消防局,處理還原確診死亡兒童「恩恩」媽媽報案情況引發爭議,朱立倫說,侯領導新北市政非常獲市民肯定,任何事情誠心誠意面對,一定會獲得市民認同。國民黨高雄市長人選提名仍舊混沌,朱立倫表示,他對高雄市長提名的基本想法是,一定是要能爭取最多選民支持的人選,會透過民調與地方訪談,了解目前有意願或潛在候選人,哪一位最能夠獲得選民認同。朱立倫說,提名過程還是會跟地方溝通協調,黨秘書長黃健庭正與高雄地區積極溝通協調,黨最後一定會團結一致、推出最好的高雄市長候選人。至於桃園市長參選人張善政徵召爭議,朱立倫說,桃園也做過多次民調與地方徵詢,張一定最適合桃園,也能獲得最多民意認同,提名後至今,張每次民調也都領先民進黨可能人選。媒體追問,2024會不會藍白合?朱立倫回應,現在最重要的事情是年底選舉,現在講到2024實在太遙遠。朱允諾,年底選舉國民黨會努力提出最好的陣容,展現出國民黨的候選人都很強,獲得民眾認同,接下來才有未來考量。",https://www.chinatimes.com/realtimenews/20220608005752-260407,中時,政治,周志豪,"[111, 192, 284, 348, 428]",,,,,,
與北京「基於原則」接觸 朱立倫:秉持九二會談共識精神交流,"國民黨主席朱立倫近日在美表示,九二共識是沒有共識的共識,並稱會與北京做「基於原則的接觸」,被解讀淡化九二共識。朱今在美受訪說,九二會談後的共識基本精神就是求同尊異或存異,國民黨仍會秉持這樣的基本態度做兩岸交流。朱立倫指出,兩岸交往一定要共同都有善意,大家彼此求同存異,而當時在九二會談之後會有共識,基本精神也就是求同尊異或存異,不要把這些爭議繼續擴大,導致什麼事都談不成或什麼事情都沒辦法交流,這才會有所謂九二共識的開始,國民黨還是會秉持這樣的基本態度做兩岸交流。但朱立倫仍強調,國民黨現在是在野黨,所能做的是社會力的交流,就是包含文化、宗教、學術、商業、城市等所有民眾關心議題的交流。至於是否認為陸方應該對台釋出善意、減少壓迫,朱立倫說,國民黨這樣的立場從來沒有改變,就像軍機擾台等,任何陸方對台強硬做法、手段,都只是激起台灣民眾反感,這些都不應該發生,或在這時候干擾民心。朱立倫重申,兩岸應透過溝通對話交流,就是要大家提升善意,求同存異,甚至進一步相互尊重。國民黨駐美代表處晚間揭牌復設(美國時間8日早上),美國國務院也派代表與會。朱立倫致詞時高喊「Wearehere.WeareBack.KMTcomeback.」,重返華府讓全世界看到國民黨捍衛中華民國與民主自由的決心,讓大家認同國民黨。朱立倫表示,這次到華府,美國國會、學界、智庫都分別接見,可感受到美方對台灣的支持,也都表達重視台灣安全的議題,國民黨也堅定表達捍衛台灣的決心,尤其國民黨是創建中華民國的政黨,一定守護中華民國、民主自由與台灣。",https://www.chinatimes.com/realtimenews/20220608005716-260407,中時,政治,周志豪,"[105, 232, 293, 388, 431, 479, 482, 487, 489, 492, 497, 500, 504, 548]",,,,,,
陳時中的民怨究竟有多高? 謝龍介這樣說 朱學恒吐一句,"陳時中造成的民怨是否有外溢效應?國民黨台南市議員謝龍介認為「有」,宅神朱學恒認為,「我們一定打到最後一兵一卒」、「守住這片家園」,「我反民進黨我驕傲!」他也會堅持到改變的一天!謝龍介今(8)日在朱學恒網路直播中表示,他每天在基層,看到民眾過去把選票投給民進黨,受到委屈的時候再到他的服務處,聽到真的很無奈,可是不能不幫他!但是綠營會挾著龐大的行政資源,掌握媒體話語權,這是「不對稱戰爭」。並且,現在走出去,大家都急著跟熱鍋螞蟻,都是在問如果長輩、孩子確診要怎麼辦?朱學恒強調,他相信科學,政府不要拿假數據來唬爛,「我不信!」「我不會被異端邪說欺騙」,「我們一定打到最後一兵一卒」,今天如果連推翻民進黨的信心都沒有,那就那裡輕鬆哪裡去。只要站在這片土地上,就有責任、勇氣和膽識,守住這片家園。不能再讓不科學的異端邪說一天一天侵蝕知識。他說,現在台灣確診數字多難看,這不是我們愛的台灣,「你要怎麼奪回你的國家?」就是靠一票一票、一句一句,在網路上遇到塔綠班,迎頭痛擊,去辯論政策錯誤,迎頭痛擊執政黨,每罵一句,就往前一分,一分一分地贏,不要放棄!朱學恒直言,年輕人可以被說服,現在有過得比較好嗎,薪水有調升嗎?房價還是很高。如果不能威脅執政黨,讓他戰戰兢兢,執政黨又怎會以大家的利益為利益?如果只是「選民」,永遠沒機會;要變成獨立自主的「公民」,才有機會!朱學恒最後說,他就是「反民進黨」,「我反民進黨我驕傲」,要堅持到改變的一天!",https://www.chinatimes.com/realtimenews/20220608005612-260407,中時,政治,丁世傑,"[88, 232, 366, 471, 576]",,,,,,
張善政戰力究竟如何?鄭文燦居然這樣評價他,"資深媒體人鄭弘儀今(8日)在其主持的廣播節目專訪桃園市長鄭文燦,談及年底桃園市長選舉,鄭弘儀問,國民黨日前徵召的前行政院長張善政戰力如何?鄭文燦表示,不需要高估張善政,他對桃園了解非常有限,連結也不深;且張善政畢竟姿態是比較高一點,也大部分透過國民黨主席朱立倫過去的人脈幫他安排拜訪,「他們還是比較迷信拜訪樁腳、拜訪公職」。鄭文燦今上廣播電台《寶島聯播網》節目「寶島全世界」,被主持人鄭弘儀問及「張善政在桃園的戰力怎麼樣」,鄭文燦表示,不會低估任何人,也不需要高估張善政,因為張善政對桃園的了解程度還是非常有限,連結也不深。鄭文燦說,主要是國民黨陷入一個提名的亂局,迅雷不及掩耳,直接提名張善政,導致黨內很多人會問為什麼不討論、不溝通、不對話,就直接提名,地方上當然有一股反對朱立倫、抵制張善政的氣氛,這氣氛很明顯。不過,鄭文燦認為,對他來講,先是守住疫情,接著才是選情,民進黨提名的步調也不會被藍營打亂,一定要到6月底左右,才會展開提名的徵詢或是一些準備工作。鄭弘儀追問:「藍營整合會順利嗎?」鄭文燦指出,國民黨還要有一番波折,因為張善政畢竟姿態是比較高一點,也大部分透過朱立倫過去的人脈幫忙安排拜訪,那些也都是屬於政壇裡面老一代的政治人物。鄭文燦強調:「我看他的選法是很傳統,一點都不現代。」直言「他們還是比較迷信拜訪樁腳、拜訪公職」,且以張善政跟朱立倫來講,因為朱上次選總統輸給蔡英文相當多,這幾年也很脫節,跟地方也沒什麼互動,所以鄭文燦覺得要拿朱立倫這個品牌來cover張善政,難度還是很高,因為張善政面貌是比較模糊的。",https://www.chinatimes.com/realtimenews/20220608005564-260407,中時,政治,李俊毅,"[162, 262, 358, 431, 522]",,,,,,
NCC前專委喬建中火燒玉山 同行金管會員工、律師涉隱瞞案情,"國家通訊傳播委員會(NCC)前專委喬建中等5人去年5月登山引發玉山大火,遭監院彈劾,移送懲戒法院審理。監委葉宜津、蔡崇義、賴鼎銘調查後指出5名登山客中,法務部應查明涉案律師有無移送懲戒事由,金管會也該有更積極的作為,農委會林務局聲請假扣押相關程序,也有檢討改進的空間。2021年5月16日玉山國家公園內發生森林大火,起因是國家通訊傳播委員會(NCC)前專門委員喬建中在5月15、16日帶團途經杜鵑營地,任令同行隊員違法就地砍伐、取柴及生火,釀成延燒12天、近80公頃林地的重大森林火災。監察院表示,彈劾案審查會在今年3月14日審查,全數通過彈劾喬建中,並且移送懲戒法院審理,監察院財政及經濟委員會、交通及採購委員會、司法及獄政委員會聯席會議8日通過監察委員葉宜津、蔡崇義、賴鼎銘的提案,請法務部轉飭所屬辦理見復,也請金管會、農委會確實檢討改進。監委發現,本案5名登山客中,律師甲在案發後隱瞞生火事實,聲稱是因為踢倒爐具導致火警,遭輿論撻伐為意圖規避《森林法》刑責的訴訟策略,經鑑定是砍伐樹枝生火致災提起公訴,嚴重敗壞在野法曹形象,法務部應查明涉案律師有無移送懲戒事由。監委指出,本案5名登山客中,金管會聘用人員乙在案發後隱瞞生火事實、將持用手機內關鍵群組對話及照片刪除,且提供無資料的備用手機供警方查扣等情,均經記載於起訴書並評其犯後態度不佳,顯已違反公務員服務法所定誠實清廉義務,而金管會是否應有更積極作為,以正官箴。監委表示,農委會所屬林務局就喬建中等5人引發玉山森林大火所衍生相關支出與賠償責任,案經有關機關函復是否擔任共同原告及計算求償金額逾2億2000萬餘元,而需行政院同意支付擔保金近5000萬元等程序,歷時3個月餘,似背離假扣押快速且經濟原則,且迄至今年2月底假扣押標的價值僅約1915萬餘元,林務局假扣押聲請程序,有檢討改進空間。對此,林務局表示,玉山大火後,該局立即啟動求償事宜,但因火場接續即遭遇超過一週的大雨天候,人員無法抵達並精確估算受災面積,天氣好轉後除開始計算林木損失面積及其價值,與統計動員滅火的人事費用外,也函請內政部空勤總隊與陸軍航特部等相關救援單位計算支援救災之飛航支出等費用,並且同意由林務局代為提告求償,這些行政程序即耗費不少時間。林務局指出,除了有形的林木損失與救災支出外,為給予涉案者警惕,更邀請學術機構針對森林景觀、生物多樣性、水土保持等無形的森林服務價值受火災而減損的部分,設法予以計算量化作為求償金額,為求償有據,也須花費時間對各項金額計算予以研酌確認。林務局強調,向法院鉅額民事求償所必須先行支付的擔保金近5千萬元,因為預算不可能事先編列,必須於法院要求後,報請行政院同意先行以其它預算支應,這些程序都相當耗時,該局已盡最大力量在最短時間內完成。",https://www.chinatimes.com/realtimenews/20220608005475-260407,中時,政治,張薷,"[134, 243, 372, 484, 610, 773, 936, 1052]",,,,,,
KK政線批高雄防疫 綠營議員反問:是在打臉台中新北?,"國民黨KK政線8日以高雄確診數多日高居全國第一,批評高雄巿長陳其邁自大自信,須為防疫失敗負最大責任,民進黨高雄巿議員邱俊憲則反問「KK政線打臉台中新北防疫成果?」高雄的國民黨議員們,母湯啦。邱俊憲PO文說,KK政線這樣是在為難同黨的新北市長跟台中市長嗎?不要見樹不見林,單看確診人數就論斷陳其邁主政的高雄防疫失敗?那今天台中市的人數超越新北、高雄,是代表台中重大挫敗?長時間確診人數都在全國之冠的新北市,以國民黨議員的標準,侯市長不就是一敗塗地?!這樣的比較標準,高雄國民黨議員們,會不會是在打臉漢子跟燕子呢?邱俊憲表示,在傳染病防治上,大家持續觀察盛行率,目前高雄仍不到9%,相較於新北市已大流行超過17%的嚴峻,數周前,巿長陳其邁就不斷提醒,高雄疫情高原期會晚幾周。因此目前高雄的狀況,這是在預測的波段之中,但在國民黨議員們的眼中,就被簡化抹煞成陳其邁防疫失敗,這不只是急於粗糙政治操作,更是惡意抹煞許多持續投入防疫無名英雄的努力。國民黨卻只是來做數字上的比較,來做政治攻擊的工具,這不只是可惡,更是可悲。邱俊憲也建議,國民黨議員們的政治攻擊與口水,還是多花點時間去了解一下每天專家學者會議建構下的高雄防疫防線措施,這才是高雄市民重視的。綠營人士指出,其實陳其邁對於防疫向來不居功,身段也柔軟,即使是國民黨,肯定邁巿府防疫的也大有人在。",https://www.chinatimes.com/realtimenews/20220608005348-260407,中時,政治,曹明正,"[95, 255, 335, 455, 521]",,,,,,
8400億花到哪?蘇貞昌:已投入7328億用於防疫、振興,"行政院長蘇貞昌今天表示,網路上充斥許多關於「8400億特別預算花到哪裡去」的謠言和錯誤訊息,行政院要特別澄清說明,自2020年疫情爆發以來,政府已經投入7328億作為防疫、紓困、振興之用,而且任何一筆支出,都會受國會監督。蘇貞昌今晚在臉書指出,在疫情期間,已經有超過1511萬人次領到政府發放的現金紓困;而觀光旅遊、餐飲、會展、服務業等相關產業也有相應紓困措施,政府發放的三倍券、五倍券,各自都有超過2300萬人領到,並且在短時間內投入消費,有效振興國內經濟。立法院日前通過,紓困振興特別條例再延長一年,行政院表態暫無追加預算的規畫,剩餘的1065億特別預算,將做為持續購買防疫物資、振興和融資保證之用。蘇貞昌說,全世界遇此百年大疫,政府與防疫團隊竭力防疫,同時維持經濟正常運作、將疫情衝擊降到最低,讓台灣經濟能在全球各國中表現優異。請民眾多注意各群組影片、圖卡的查證,不要誤傳了假訊息。",https://www.chinatimes.com/realtimenews/20220608005317-260407,中時,政治,林縉明,"[111, 230, 302]",,,,,,
24小時火化違背世衛組織指引 賴士葆轟台灣跟不上世界,"確診死亡者24小時火化爭議延燒,國民黨立委賴士葆怒嗆,在台灣,比確診死亡更悲慘的事情就是被政府當成瘟疫一般的有毒醫療廢棄物般,限期24小時內火化,指揮中心自創違背人性、文化、傳統的苛政,違背世衛組織的指引,過去衛福部長陳時中說世界怎麼跟得上台灣,在「尊重生命」台灣真的跟不上世界。賴士葆表示,一個星期之內,24小時火化爭議,陳時中轉了好幾次彎,不確定之後會不會再轉彎。在台灣,比確診死亡更悲慘的事情就是被政府當成瘟疫一般的有毒醫療廢棄物般,限期24小時內火化。原來台灣是最不尊重死者尊嚴和生者感受的地方,過去陳時中說世界怎麼跟得上台灣,現在很確定的是「尊重生命」這一點,台灣真的跟不上世界。賴士葆指出,世衛組織明確的說只要遵守某些限制規定,死者的親友也可瞻仰遺體,大家看到新加坡可以讓喪家守靈3天、澳洲允許家屬在太平間探視遺體、加拿大根據不同宗教信仰可以舉行最後一次告別、紐西蘭允許舉行最後儀式。唯獨在台灣,生者難捨不能為死者送終的痛,還要看盡官僚的冷血、甩鍋。賴士葆認為,世界衛生組織2020年3月就明確指引要避免倉促處置新冠死者,他們的尊嚴、文化、傳統宗教及家人都應受到尊重和保護。世衛更清楚的說明沒有必要將遺體倉促下葬或火化,更不應該剝奪死者尊嚴後事和親友告別的最後機會。台灣的指揮中心自創違背人性、文化、傳統的苛政,24小時盡速火化的命令,也違背世衛組織的指引。賴士葆強調,去年7月立法院有決議文要求指揮中心明確規定遺體是否須於24小時內火化處理,行政部門視民意如無物,完全不理會。民眾再次體會疫情指揮中心的權柄高到超越憲法層次,無人可以約束,更不受國會的監督,是掌握生、死大權的無敵怪獸。",https://www.chinatimes.com/realtimenews/20220608005264-260407,中時,政治,張薷,"[140, 295, 431, 585]",,,,,,
遭民進黨中執會暫緩提名 台南第一選區參選人回應「深表遺憾」,"民主進步黨8日召開中執會,會中通過公告今年直轄市議員提名。其中,台南市議員第一選區參選人蔡宗翰,初選期間疑涉違反黨內規定,經會中討論後移送中評會調查、裁決,暫緩提名公告。對此,蔡宗翰晚間發表聲明,表示「深表遺憾」。蔡宗翰指出,台南市第一選區議員初選是依照民進黨黨內初選規範及規則所進行,以公平公正公開的方式產生,針對黨內同志劉米山公開指責人使用「詐術」贏得初選,實為沈重,也與事實相違背。蔡宗翰說,此次初選過程中他所做的一切競選事項,皆符合民進黨初選廣告禁止事項之規定,民進黨一向鼓勵青年參與政治,這是一直以來的優良傳統,也是延續台南、甚至全台青年參政的兢爭力的作法。蔡宗翰強調,為了捍衛台南第一選區選民所做的初選結果,也將採取相關救濟程序,不僅是為還給他清白,也盼能因此以正視聽。初選落敗的現任市議員劉米山表示,尊重中執會決定,靜候下周中評會的調查結果。",https://www.chinatimes.com/realtimenews/20220608005259-260407,中時,政治,張毓翎,"[107, 194, 284, 341]",,,,,,
國民黨竟跟民進黨比賽「這件事」 他嘆:台灣危險了,"國民黨主席朱立倫訪問美國,日前與美學者座談時強調,國民黨是與美國擁有緊密連結的親美政黨,與中共做價值與制度的競爭。亞太和平研究基金會顧問、淡江大學中國大陸研究所榮譽教授趙春山受訪表示,國民黨好像跟民進黨在比賽親美,和中國大陸完全不來往,容易擦槍走火、容易誤判,「把安全完全寄望在美國保護,這是很危險」,完全喪失國家主動權。據《中評社》報導,趙春山受訪表示,如果美國對中國政策是嚇阻,台灣方面只有談親美,就是台灣參加美國抗中行列,除了親美之外,也要提出對大陸政策,才不會引起誤會。他強調,尤其國民黨更要提出兩岸主張,讓美國瞭解,才不會讓外界認為,只談親美,不談大陸政策,台灣甚至國民黨加入美國圍堵中國的行列,這樣對台灣不利、對台灣是危險。朱立倫提及反對跟中國大陸舉行政治談判,反對共產主義的說法,「除非要戰爭,否則談判不可避免」,一下子把談判可能性排除,這些說法是有問題。朱立倫訪美提及,「九二共識」是「沒有共識的共識」,是「創造性模糊」,在沒有更好的方案以前,還是用這樣的方式持續交流。趙春山表示,朱立倫對「九二共識」的說法,「創造性模糊」沒有錯,已逝的海峽交流基金會董事長辜振甫曾當面跟他提過,「九二共識」是心照不宣的理解,當時用共識的名詞,在國民黨內部曾經引起爭論,認為這個說法會有混淆,當時辜振甫當面跟他提過,應該用一個心照不宣的理解會比較好,「九二共識」確實是一個沒有共識的共識,這個說法沒有錯。趙表示,朱立倫這次去美國,樂於見到台灣朝野政黨在外交政策、對兩岸關係、對美關係等建立共識,就像美國對於外交政策,兩黨都有共識基礎,台灣這方面建立共識有必要,內政方面可以有不同看法,對外能夠一致是最好,但是不要讓外界感覺國民黨跟民進黨是在比賽「親美」。他強調,「因為親美不是建立在反中、抗中基礎上,我們加強跟美國之間的關係,但不能以大陸政策當成犧牲的代價」。趙春山表示,台灣不論從經濟上、安全上等,都不能捨近求遠,忽視跟大陸關係,尤其經濟4成以上依靠大陸市場跟大陸經濟來往;安全上也是一樣,既然認為大陸是安全威脅來源,要爭取最大安全,不能跟大陸完全不來往,容易擦槍走火、容易誤判,「把安全完全寄望在美國保護,這是很危險」,喪失國家主動權。",https://www.chinatimes.com/realtimenews/20220608005234-260407,中時,政治,李俊毅,"[161, 239, 385, 443, 602, 727, 780]",,,,,,
