title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
胡錫進嗆「武統台灣、不留台獨活口」 矢板明夫:只為迎合小粉紅情緒,"外交部長吳釗燮先前接受法國「快訊週刊」(L’Express)世界版副主編CyrillePluyette視訊專訪,內容中提到,「我國勇敢面對中國,有如大衛挑戰巨人歌利亞,而民主台灣必將勝出」。中國《環球時報》前總編胡錫進透過微博嗆聲,「攻台小時計、不留台獨活口」。對此,日本產經新聞台北支局長矢板明夫認為,胡錫進應該也知道自己說的是毫無價值的胡話,「其目的,是為了迎合小粉紅的情緒、藉機吸粉」。矢板明夫說到,中國《環球時報》前總編胡錫進前幾天發文嗆聲,「兩岸一旦開戰,力爭以小時計完全摧毀台軍的防線。」,又說,「台獨頑固分子,沒必要留活的,可以直接消滅。」沒來由地突然對台灣發狠話,在網路上引起了熱議。矢板明夫表示,北京至今還在執行嚴厲的防疫政策,胡錫進每天出門散步買菜,都要先做快篩,乘公車、進商店,也要主動出示手機上的「綠碼」。萬一不小心出了差錯,手機上顯示出了「紅碼」,就有被帶到城外方艙醫院強制隔離的風險,「日常生活如此不便,還念念不忘祖國的統一大業,積極為政府出謀劃策,不愧是一個優秀的共產黨員」。矢板明夫點出,不過,胡錫進出的兩個主意,一個毫無意義,純屬廢話;另一個有違反國際法的嫌疑。首先,胡錫進說打台灣要力求速戰速決,這是軍事上的常識。古往今來的戰爭,從來沒聽說過,有主動挑起戰端的一方想拖延時間的。胡錫進說,爭取以小時計摧毁台軍的防線,如果解放軍真有這個實力,早就跨過海峽了,又何必站在對岸打70多年的嘴砲?矢板明夫表示,中國的好朋友俄羅斯,三個月前也想速戰速決打敗烏克蘭,做了各種各樣的準備,結果還是陷入了戰爭的泥沼。已經陣亡了十多個將軍了,但戰況還在膠著。胡總如果有快速摧毁烏軍防線的妙計,或許可以作為軍事顧問去俄軍前線指點一下,看看有沒有効果。矢板明夫提到,至於對台獨份子不留活口之說,有戰爭罪和預謀殺人罪的嫌疑,和今天的國際法嚴重抵觸。即便殘忍如俄軍,也不敢公開宣導。中國至今為止公布的所謂「台獨份子」,有行政院長蘇貞昌、立法院長游錫堃等人,都不是戰鬥人員,即使他們主張台獨,有違反中國國內法的嫌疑,也應該經過司法程序才能夠定罪,「如果中國軍人在攻打台灣時將他們殺害,必將受到國際法庭的追責」。矢板明夫表示,胡錫進是軍人出身,曾經作為戰地記者採訪過波斯尼亞戰爭,對相關國際法不可能不了解,他應該也知道,自己說的是毫無價值的胡話,但其目的,是為了迎合小粉紅的情緒、藉機吸粉,同時也討領導的歡心,很多人都知道,胡錫進的大領導特別愛聽這種胡話,「在今天的中國,已經到了大家都在說假話的時代,就好像上演著安徒生童話國王的新衣」。",https://www.ftvnews.com.tw/news/detail/2022608W0323,民視,一般,,"[43, 196, 300, 453, 612, 733, 909]",2022-06-08 21:57,2022,6,8,21,57
不等陳時中? 民進黨拍板:全代會717舉行,"2022大選逐步逼近,民進黨目前僅完成9縣市首長提名,北北桃沒正式拍板,一度傳出全代會可能延後,因為要等陳時中就位。不過中執會今天(6月8日)拍板,全代會不會延期,確定在7月17日舉行。黨發言人說,會依照既定時程推人選,一切還是防疫優先。桃園市長鄭文燦說,「人選有再次討論嗎,沒有。」桃園市長鄭文燦和立委鄭運鵬並肩走出來,民進黨中執會開會結束,年底大選逐步逼近,民進黨至今只完成9縣市提名,重中之重的北北桃,還沒正式拍板,外傳全代會可能延後,外界認為就是在等陳時中就位。立委(民)鄭運鵬說,「客觀來說是等疫情,不是等一人,我覺得選舉還不是現在急到,民進黨必須要去做初選,或者提名決策過程,我完全贊成這種作法,所以不是在等誰,是在等大家對疫情放心。」立委(民)陳亭妃說,「目前我們今天通過黨代表大會,是暫定就是在7/17,所以我們這次是會改選中執委,中評委跟中常委,做了以上的報告,但是並沒有去討論到,選舉提名的部分。」717全代會確定不延期,眼見國民黨台北和桃園人選確定,陳時中前一天公開喊話不要等他,林智堅傳出轉戰桃園,新竹屬意讓副市長沈慧虹接棒,一人卡兩市,讓身兼選對會成員的立院黨團總召柯建銘頗有微詞。立法院民進黨團總召柯建銘說,「有傳出說對林智堅不滿嗎,沒有不要亂講。」桃園市長鄭文燦說,「沒有會做很好的安排,也會推出很好的人選,大家照時間表完成就可以了,今天沒有討論。」不管怎麼問黨內大咖依舊不鬆口。但基層焦慮沒少過,前立委謝欣霓發文發文痛批,因為些許人自私的要延續影響力,遲遲未完成提名,一群互咬受傷的小雞,少了母雞的溫暖,傷口不但無法復原,還不知要如何作戰?桃園國民黨提名了張善政,就應該提名在地的立委出來戰桃園,還放話要林智堅來桃園選。許多縣市面臨了一場沒有母雞的選舉,再拖下去親痛仇快!民進黨發言人謝子涵說,「目前我們就是以,防疫為最優先的工作,至於提名的問題,民進黨會依照既定時程,推出最適合的人選。」儘管距離全代會時間只剩下一個多月,民進黨不只要拚防疫,還要解決提名僵局。",https://www.ftvnews.com.tw/news/detail/2022608P08M1,民視,政治,李佳樺、李志銳,"[119, 409, 539, 752]",2022-06-08 18:38,2022,6,8,18,38
朱立倫喊藍親美不親中 胡錫進批:淪小民進黨,"正在美國訪問的國民黨主席朱立倫,昨天(6月7日)公開表示「九二共識是沒有共識的共識」,國民黨內部為他緩頰,強調九二共識要不要維持,以後可以一起討論。不過新黨已經炸鍋,痛批朱立倫想把台灣送上戰場;中國環球時報前總編輯胡錫進還砲轟國民黨,如果淪為「小民進黨」,將被泡沫化。來到美國國會,國民黨主席朱立倫美國行第七天,拜會友台眾議員,還沒見到面,路上先巧遇美國眾議員蓋耶哥。眾議員蓋耶哥第一時間沒認出朱立倫,直接穿越,和走在後頭的立委陳以信打招呼。但沒關係,朱立倫此行就是來和美國人交朋友,他也拜會美國國務院,會晤亞太助卿康達。不過,前一天在華府智庫拋出九二共識的解釋,惹怒對岸。國民黨主席朱立倫說,「我們都知道九二共識是,雙方創造的不明確解釋,是一個沒有共識的共識。」中國環球時報前總編輯胡錫進說,「我們生他們氣,罵他們百年爛黨都沒有用,而國民黨如果放棄一個中國,淪為小民進黨,最終不但無法立足於兩岸,就是在島內也將被泡沫化。」新黨主席吳成典說,「朱立倫高舉的是親美的蔡英文路線,朱立倫與蔡英文都會把台灣,帶向戰爭之中。」連新黨都炸鍋,但朱立倫鐵了心,要重建和美國的關係。國民黨駐美代表黃介正親自開箱國民黨駐美代表處,這是國民黨2008年關閉駐美代表處後,時隔14年重新回到華府。朱立倫視訊隔海主持中常會,再度表明親美立場。國民黨主席朱立倫說,「我們堅定的立場就是親美的立場,讓大家知道,我們是跟民主自由站在一起。」立委(民)羅致政說,「我們是樂於看到朱立倫,慢慢地淡化九二共識的立場,甚至想要拿掉九二共識這樣的主張,至於他有沒有辦法對他的黨內交代,這是他的考驗。」但是朱立倫的美國行,國民黨內似乎冷淡以對,不僅直播線上只有50幾個上線,中常委們幾乎缺席,還有一個前主席洪秀柱到中國北京參加研討會,高唱統一論調。中國國民黨前主席洪秀柱說,「真正令我們憂心的是,這些年來統一的聲音在台灣日益微弱,但凡有識之士都不該再保持緘默。」朱立倫積極撕掉國民黨親中標籤,但前主席洪秀柱卻以行動唱反調,如何讓外界相信國民黨是親美政黨?",https://www.ftvnews.com.tw/news/detail/2022608P06M1,民視,政治,,"[134, 184, 287, 332, 412, 459, 484, 560, 606, 681, 754, 811]",2022-06-08 18:35,2022,6,8,18,35
蔣萬安深入綠營票倉搶婆媽票 砲火續轟陳時中,"年底台北市長選戰備受矚目,國民黨北市長參選人蔣萬安,近來不斷砲轟中央防疫差,儼然把陳時中當作唯一對手,國民黨市黨部主委黃呂錦茹坦言,內部民調蔣萬安雖領先,但陳時中就是他們藍營最強假想敵。外傳指揮中心六月將解散,讓陳時中解套參選,陳時中嚴正否認。國民黨台北市長參選人蔣萬安,深入傳統綠營票倉拚選戰,參加大同區婦女後援會活動,在婆媽簇擁下一起包裝快篩試劑,受到熱烈歡迎,眾人承諾要當最強應援團,蔣萬安致詞更主動把砲口瞄準中央,防疫政策。台北市長參選人(國)蔣萬安說,「當政府在這一次的防疫作為,大家看到喊的超前部署,完全是謊言,政府沒有辦法做的我們來做,他所看到的每一個數字,都代表每一個家庭他的椎心之痛,身為政務官不該如此冷血的方式,看待民眾的傷痛。」。",https://www.ftvnews.com.tw/news/detail/2022608P15M1,民視,政治,,"[122, 216]",2022-06-08 18:32,2022,6,8,18,32
防疫當作秀? 林姿妙開防疫記者會賣農產,"宜蘭縣的防疫記者會,被質疑像是購物頻道!7日當天,縣長林姿妙對於疫情說明,花了七分鐘,卻幫宜蘭青農推銷農產品,時間八分半,儼然變成購物專家,這讓民進黨議員質疑,這是在作秀,還是圖利特定廠商呢?但國民黨議員反嗆,防疫也要顧經濟,這樣不對嗎?疫情記者會結束,縣長林姿妙直接走到一旁,開始推銷農產品,一講就是八分半。宜蘭縣衛生局長徐迺維說,「非常感謝各位今天收看,我們的節目謝謝各位收看。」尤其最後這句謝謝大家收看節目,讓民進黨議員相當不滿,懷疑自己看的是防疫記者會,還是購物頻道?民進黨宜蘭縣議員說,「支持促銷青農產品,但不要變妙妙購物台。」民進黨議員們高舉標語,甚至製作圖表痛批,賣貨8分半,疫情記者會只有快7分鐘,根本在利用人氣做秀。宜蘭縣議員(民)簡松樹說,「宜蘭縣政府的記者會,我們覺得是不倫不類,是不是明顯誤導宜蘭縣民,靈芝對防疫有什麼作為,是不是違反藥事法。」宜蘭縣議員(國)黃琤婷說,「陳時中部長在4月27日當天,擺出了荷蘭經典甜點焦糖煎餅,這東西也引發網友搶購,我想這也是非常好的推銷,那為什麼在中央陳時中部長可以,宜蘭林姿妙縣長就不行。」國民黨議員不甘示弱,同樣開記者會挺自家縣長,更翻資料帶反批陳時中,認為防疫也要顧經濟,當然沒問題。國民兩黨隔空互嗆,但林姿妙不受影響,隔天繼續挺青農。宜蘭縣長林姿妙說,「好山好水種出來的金棗呢,品質非常非常的棒,宜蘭縣政府呢不以營利為目的,但是我們這些青年創業,我們希望能幫忙到他們,他們也需要鼓勵希望要大家來幫忙。」民眾說,「如果有人看到最後的話,利用這個流量來做推銷,我覺得還可以。」民眾有人挺、有人反對,疫情記者會算不算變了調,大家看法不同。",https://www.ftvnews.com.tw/news/detail/2022608N07M1,民視,社會,黃富溢,"[119, 155, 192, 238, 269, 317, 384, 476, 551, 635, 670]",2022-06-08 18:21,2022,6,8,18,21
松機篩檢站完成任務 王必勝籲:想當英雄先跟總教練齊心把7、8局打好,"松山機場篩檢、診斷、給藥三合一站今是最後一天,衛福部醫福會執行長王必勝今(8)日表示,各大站在成功完成任務後,將陸續結束服務。他也有感而發說,這場防疫之戰很像棒球比賽,很多人都想要做9局下那個致勝的英雄,只要真的有實力,相信都有機會,觀眾也看的懂,但在此之前,「先齊心跟總教練合力把7、8局打好,勝利的機會才會在我們這邊」。王必勝在臉書表示,大雨滂沱,澆不熄為國為民服務的熱忱。今天松山機場篩檢、診斷、給藥三合一站服務最後一天,完成階段性任務!感謝王智弘院長率領的三總優秀團隊,也感謝松山機場徐乃新主任給予各方面的協助。王必勝指出,中央協助設置的北北基桃大型篩檢站,陸續開設了12站。從5月中以PCR篩檢為任務,到5月26日之後因應確診定義修正而轉型為篩檢、診斷、給藥的複合功能站,統計到6月7日:累計PCR篩檢66949人,快篩陽確診判定11823人,給藥數13217人,其中抗病毒藥物1519人。前期疏解了因PCR量能不足而產生的排隊及等待的問題,另外在政策轉變期間也發揮了過渡的功能,讓轉銜期進行的相當順暢。王必勝提及,目前快篩陽可看診確診已實施兩週,PCR檢驗量已從最高每日12萬多降到2萬多,陽性率也從近70%降到20幾%。每日透過PCR檢驗而確診的比例也降到15%左右。王必勝說,目前快篩陽看診後判定通報由院所進行順利,其中約60%由基層診所執行後通報,後續開立藥物也很穩定流暢,加上北部疫情判斷已過高峰,因此各大站在成功完成任務後,將陸續結束服務。王必勝感謝各站醫事同仁及行政人員的辛勤付出,也謝謝各縣市政府的配合協助,「進退有據」,是我們團隊奉行的原則,「過程中難免風風雨雨,但我們的信念不會動搖」。王必勝說,這場防疫之戰很像棒球比賽,為了打贏比賽,必需一局一局的完成,尤其比賽後段更要戰戰兢兢的面對各種亂流,一個投手的調度、一個平凡的接傳、一個正確的跑壘、一個推進的觸擊......看似容易而不特別引人注意,卻代表了很多的努力,也是比賽重要的部份。王必勝喊話,很多人都想要做9局下那個致勝的英雄,只要真的有實力,相信都有機會,觀眾也看的懂,「但在此之前,先齊心跟總教練合力把7、8局打好,勝利的機會才會在我們這邊」。",https://www.ftvnews.com.tw/news/detail/2022608W0289,民視,一般,,"[162, 260, 354, 457, 631, 708, 833]",2022-06-08 18:18,2022,6,8,18,18
韓媒爆「竊潛艦技術」 台船駁:2000噸級自行設計,"正在進行中的潛艦國造,被韓國媒體揭露,他們來台指導台船的技術人員,未經官方同意就洩露最新油水分離器、電瓶固定裝置等技術,韓國警方3月逮捕多名涉案人員,並通緝在台主謀。台船發聲明指出,此案都是自己設計,沒有採用任何一國的藍圖。前海軍艦長呂禮詩指出,這2項都不是特別技術,事情恐怕不單純按下啟動鈕,總統蔡英文去年6月出席潛艦國造開工典禮,期許潛艦如期完工,一起守護主權,現在卻傳竊取機密技術。韓國媒體《朝鮮日報》揭露,一家韓國協助台灣潛艦國造的A公司,2019年跟台船簽訂一份價值約35億台幣合約,派20名代表來台指導,沒想到A公司未經政府跟軍方許可,把他們潛艦最新的油水分離器、電瓶固定裝置設計圖洩露給台船,韓國警方3月逮捕涉案人員,並通緝在台主謀。台船發聲明指出,台灣潛艦排水量2000噸級,而《朝鮮日報》提到的技術用於排水量3000噸級潛艦,構型不同,無法應用,此案是台船自行設計,未採用任何一個國的藍圖。前新江艦長呂禮詩說,「電池固定方式固定架,看起來好像也沒有技術層次,油水分離器,錦江級就有,錦江級就是台船做的,可是對潛艦而言要求會更高,韓國也有幫印尼做潛艦,可能覺得這應該不是管制機密,是不是官方默許的,這件事還需要看後續發展觀察。」呂禮詩指出,3月時有國民黨立委質詢提到韓國技工在高雄餐廳大聊潛艦國造,有可能被韓駐台武官回報,或者遭中國掌握,透過外交管道施壓,讓此事浮上檯面。新江艦前艦長呂禮詩說,「一定會造成影響,但影響層面,就看當初獲得這些內容,是為了參考還是為了購買這些裝備,如果是購買裝備,就會對潛艦國造期程,拖得更長。」台灣好不容易自製潛艦,過程一波三折,如今又碰上竊密風波,在在說明潛艦國造牽動政治敏感神經,超乎外界想像。",https://www.ftvnews.com.tw/news/detail/2022608P09M1,民視,政治,,"[141, 194, 404, 522, 594, 671]",2022-06-08 18:10,2022,6,8,18,10
藍辦高市「空降」4人假投票 議員要黨中央講清楚,"週二國民黨秘書長黃健庭,特地南下詢問黨籍市議員對市長人選的看法,據了解議員多半希望在地為主,但黨中央開了包括柯志恩、張亞中、陳玉珍、及楊志良的四人名單,不過與會的議員黃紹庭就說,黨中央是採開放投票,不限這四個人,但希望黨中央要明確說清楚,是要空降還是要在地。國民黨秘書長黃健庭,7日與黨籍高雄市議員座談,想了解地方對市長人選意向,點名了柯志恩、張亞中、陳玉珍及楊志良四個人,但市民對他們的印象又如何?高雄市民說,「楊志良比較會說真話。」、「關於陳玉珍都是滿負面的。」、「柯志恩很關心很多社會公共議題。」、「看過張亞中講話,我覺得他能量很好。」韓市府時期的副市長李四川、葉匡時,都明確拒絕了空降參選,柯志恩也強調要在地優先,學者就建議,國民黨可以從在地拉拔,循黃俊英模式,培養未來戰力。國立高雄大學法學院教授廖義銘說,「最適合的人選應該是高雄市在地的,長期在高雄深耕的然後非政治的素人,讓這樣的人能夠成為,未來國民黨的政治人才。」誰會披上藍袍挑戰現任市長陳其邁,國民黨中央也不排除做內參民調來決定,但最後會由誰出線,恐怕還是得等朱立倫回台後,才有定奪。",https://www.ftvnews.com.tw/news/detail/2022608U06M1,民視,社會,蘇晟維、林樹銘,"[129, 271, 383, 414]",2022-06-08 18:08,2022,6,8,18,8
就是挺台! 斯洛伐克友台主席高喊:我是台灣人,"斯洛伐克國會訪問團來台第四天,友台小組主席歐舒斯基今天接受我國的「睦誼外交獎章」,他感性表示,只要還有一口氣,都會支持台灣,直言我駐斯國代表處應該正名、以及懸掛國旗,堅定挺台,喊出「我是台灣人」。對著鏡頭、開心比讚,斯洛伐克國會訪團來台第四天舉行記者會,已擔任友台小組主席7年的歐舒斯基感性表示,只要自己還有一口氣,都會和台灣站在一起,表達最堅定的支持。斯洛伐克國會友台小組主席歐舒斯基表示,「台灣的國旗應該懸掛在駐斯國代表處外,我也引述甘迺迪的名言『我是台灣人』,因為台灣值得我們的支持。」而被問到如何應對中國打壓,歐舒斯基也強調,斯國毫無畏懼。斯洛伐克國會友台小組主席歐舒斯基表示,「我們還會想來訪,也邀請台灣的朋友造訪斯洛伐克,極重要的投資夥伴國家,更勝於中國,我們應該體認到,誰是真正的夥伴與朋友。」今年69歲的歐舒斯基,長期挺台,此行也接受外交部長吳釗燮頒贈的「睦誼外交獎章」,台、斯兩國更簽署「司法合作協議」,進一步深化交流。另一頭,法國參議院外交國防委員會訪團,也在清晨抵達台灣。法國參議院外委會副主席葛利歐說,「台灣是在亞洲的民主典範,是一個充滿活力國家,我們訪團非常開心有機會來訪。」大讚台灣是充滿民主活力的國家。其實這是法國國會,繼去年10月參議院友台小組主席李察訪團,與12月國民議會訪團後,短短1年內、第3度組團訪台,凸顯台法互動越來越密切。歐洲國家挺台力道不斷,歐洲議會6月7日,再以474票贊成,60票反對的壓倒性票數,通過「歐盟與印太地區之安全挑戰」報告案,內容關切台海安全,並將台灣視為印太地區重要夥伴,是今年以來,歐洲議會第5度通過的友台報告,從來台訪團到決議案,在在都展現歐洲國家強力挺台的行動與決心。",https://www.ftvnews.com.tw/news/detail/2022608P07M1,民視,政治,,"[98, 177, 246, 274, 354, 419, 447, 501, 583]",2022-06-08 18:07,2022,6,8,18,7
恩恩消失81分鐘 何美鄉提「4方向」儘速做:台灣有義務剖析兒童腦炎,"新北中和2歲男童恩恩染疫後不幸離世,為了釐清真相,恩恩爸緊追「81分鐘」送醫過程的內幕,引發社會關注。中研院研究員何美鄉說,如果要預防類似的不幸後果,要找的答案還有更多。台灣醫學界有義務剖析兒童腦炎案例,從預防醫學的角度,何美鄉提出4點探討方向,呼籲中央儘速組織研究團隊,才能為「無辜」殞落小生命,找回生命價值。「尋找消失的81分鐘,還有更多。」何美鄉指出,近日媒體報導讓諸多台灣人隨著那父親心急如焚的腳步,尋找那消失的81分鐘。真要預防更多類似的不幸後果,要找的答案還有更多。何美鄉說,既然至今只有台灣與香港報導兒童腦炎,台灣醫學界有義務,剖析這些致命的案例,以瞭解風險,才能達到預防的效果。她補充,目前其他國家仍無科學文獻,但無法排除他國亦有兒童腦炎,只是他國媒體文化,不像台灣媒體一一報導每一位COVID病例的細節。從預防醫學的角度,何美鄉提出4點需要探討的方向:1.病毒:是OMICRON的某一亞型還是特有突變?香港的兩例腦炎,被認為是BA2,但沒有對照。台灣需要更多資料,每一重症都應盡力分析病毒基因全序列。台灣過去兩年貢獻在基因銀行的病毒株太少了。2.人類重症風險基因:針對重症與輕症的比較,透過人類全基因序列分析,已找出第三染色體的某片段,與嚴重新冠感染有關,其中諸多與免疫發炎相關的因子在那基因片段內(這樣的結果,已被多個團隊,針對世界多國病人研究驗證,且得到一致的答案)。現在,只有香港與台灣報導兒童腦炎,那更有理由進行此類人種基因的研究。3.臨床流行病學的風險因子:這些可能與病毒攝取量相關的因素,如居家人數、幼兒園接觸,家人疫苗施打狀況,社區環境等。畢竟盡量減少病毒攝取量,是當下唯一可以改善的因子。4.病理剖析:腦炎的主因,到底是病毒亦或發炎?這兩者的療方迥異,一個以抗病毒藥物主打,另一個以類固醇。過往的變異株,也有很少數的腦炎病例報告,有限的資料,傾向於感染後的腦部發炎,也有以類固醇治癒的案例。「我們真的很迫切需要知道以上答案。因為新冠病毒不會消失,同樣的問題會一直出現。」何美鄉直言,過去兩年,無法否認,台灣防疫的成效,都受惠於國際公共衛生及醫學界對疫情、病理、病毒等的研究成果,比如,每一病毒變異株的再生值(R值),接觸時間多長會促成有效傳播。這些都讓台灣更精準的防疫。「今天台灣人走在全世界疫情的尾端,居然還破天荒的歷經一個前所未的問題:兒童嚴重腦炎相關的高死亡率。」何美鄉坦言,這次西方世界不會給答案,台灣真的要盡該有的義務來尋找答案。在第五類傳染病的架構下,醫學界的臨床研究,含病理解剖,所需的倫理審查將會曠日廢時。何美鄉建議指揮中心連同科技部,儘速組織研究團隊,才能為那些「無辜」的殞落小生命,找回生命價值,給他們親人一個較為平靜的心。",https://www.ftvnews.com.tw/news/detail/2022608W0277,民視,一般,,"[156, 239, 361, 385, 387, 480, 482, 629, 631, 711, 713, 812, 852, 952, 1037]",2022-06-08 17:54,2022,6,8,17,54
