title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
服役50年經4次裝備提升 綠島鷹式飛彈強化東部防空火力,"軍聞社/記者莊家宏綠島報導「神揚鷹九穹、箭殲敵之外」,為強化國軍平、戰時防衛戰力,空軍於綠島部署鷹式飛彈突擊排,擔任臺東地區中、低空防空作戰任務,透過鷹式的優異接戰效能,進而強化東部地區防空火力及作戰縱深火網密度,以期早期預警的作戰效益,達到平戰合一目的。鷹式飛彈系統於民國49年移交,已經保衛中華民國逾50年,共歷經4次性能改良及裝備提升,68年接續成立中、南及東部鷹式飛彈營,93年改隸國防部參謀本部,成立飛彈司令部,95年「精進案」移編空軍防空砲兵指揮部,後歷經101年「泰安專案」、106年「飛展專案」整合短、中、長程防空飛彈系統,成立空軍防空暨飛彈指揮部沿用至今。鷹式飛彈主要由連指揮所、高功雷達、照明雷達,以及飛彈發射架所組成,透過雷達搜索與空作部雙方進行目標確認,當指揮所戰術軍官確認目標後,再由空作部交付目標,即運用高功雷達實施鎖定,並與空作部完成複式確認後下達射擊命令,發射後鷹式飛彈則依據高功雷達追索目標進行攔截。",https://www.ettoday.net/news/20220612/2271406.htm,東森,軍武,,"[13, 128, 287]",2022-06-12 23:25,2022,6,12,23,25
塔江艦6月演訓改善追瞄問題? 海軍:裝備正常勿臆測,"本報訊海軍司令部12日表示,日前公告6月23日將在基隆外海申請的空層空域,主要是執行年度例行性演訓,並未實施任何武器射擊;關於媒體指稱演訓目的,是為了改善131艦隊所屬塔江艦「瞄不準」,內容純屬臆測。聯合報今天報導,塔江鑑炮控、海蜂眼雷達系統(陸用型蜂眼雷達的衍生型)狀況不斷,訊號會中斷而影響追瞄,中科院系發中心工程組至今還在尋找問題,6月23日將在基隆外海一處非靶區的水域空域實施「空層空域操演」,不是在東北部的RCR25靶區內,主要是為了替塔江艦驗證系統改善後追瞄所需。國防部海軍司令部今天發布新聞稿指出,媒體報導「塔江艦瞄不準?海軍基隆外海空層空域操演傳成關鍵」,內容純屬臆測,並非事實。海軍司令部表示,公告23日在基隆外海申請的空層空域,為執行年度例行性演訓,並未實施任何武器射擊。海軍司令部並強調,塔江軍艦在2021年9月9日成軍服役,裝備狀況均正常,希望媒體勿臆測報導,造成民眾誤解。",https://www.ettoday.net/news/20220612/2271395.htm,東森,軍武,,"[3, 100, 238, 298, 346]",2022-06-12 22:14,2022,6,12,22,14
民眾黨挖牆腳?賴香伶拜會羅智強 透露柯文哲想約見面,"年底九合一大選將至,桃園市長鄭文燦8年任期將屆,也讓桃園成為各黨派兵家必爭之地,民進黨候選人懸而未決、國民黨近期則爆發空降之亂、引起早早宣布參選的前議員羅智強以及在地立委嚴重反彈,而民眾黨則早早定調由立委賴香伶參選,賴香伶12日也特地拜會羅智強,並透露民眾黨主席柯文哲想約見羅智強,自己也與羅相約再見。賴香伶指出,今天下午自己到羅智強開設的「桃園疫情關懷中心」拜會,並贈送消毒噴霧劑等防疫物資,與羅智強聊聊近日在桃園行腳的心得,他提到經歷過前一段風風雨雨的心情,「我是心有戚戚焉,尤其看到許多民眾因疫情受苦,包括紓困、經濟復甦等,我們必須繼續努力。」賴香伶表示,桃園是國門第一線,因疫情造成相當大的衝擊,產業、勞工生計都受影響,紓困、復甦都還要繼續努力,而羅智強願意走基層傾聽民意,精神令人感佩。羅智強成立疫情關懷中心,民眾黨也成立疫情服務隊、共享車隊服務,為民眾提供協助,「我今天也帶來一些防疫物資,希望與羅智強共襄盛舉,將防疫物資提供給有需要的人。」賴香伶表示,羅智強行腳很辛苦,而我們客家人則是重義氣、重感情,因此送他「義民聯盟」毛巾,讓羅智強在行腳過程擦擦汗,羅智強則送我「真愛台灣」的T恤、帽子、祈福的福氣茶包與口罩。賴香伶指出,柯市長也請我居間與羅智強約時間碰面,「我們也相約再見面,一起聊聊近日的所見所聞。」對於柯文哲約見,羅智強則表示,這算是一個老朋友的溫暖關心吧,「謝謝柯市長。」羅智強表示,很謝謝賴香伶的關心,關心疫情、服務人民和有沒有選舉,是哪一個黨派沒有關係,上次張善政陪我一起走路為桃園祈福,我就說過,我歡迎也感謝任何人一起來行腳,不管你是民眾黨、無黨籍、國民黨,或是民進黨,我都感謝也歡迎對於媒體提問,如果國民黨朱立倫也來祈福走桃園,羅智強歡迎嗎?羅智強指出,自己的答案是:一樣歡迎,但是,這也得尊重朱立倫的意願。羅智強指出,在私下和賴香伶交流的時候,自己對她說:這一段風風雨雨,其實我看透不少事情,很多時候,放下才是拾起、退後才能向前,往事不用再提,人生已多風雨,選擇成全之路不只是成全別人,也是成全自己的自由。羅智強表示,國民黨有很多很優秀的從政者、民眾黨也有很多優秀的從政者、無黨籍的朋友也有很多優秀的從政者,從今而後,自己想要在民進黨一黨獨大、民主已經失去制衡的時代,幫助壯大與團結在野制衡力量,「是今後羅智強會堅定努力的信念,只要是在野的好朋友,有羅智強可以盡綿薄之力的地方我都願意幫忙。」",https://www.ettoday.net/news/20220612/2271394.htm,東森,政治,杜冠霖,"[151, 275, 427, 514, 599, 708, 771, 871]",2022-06-12 22:01,2022,6,12,22,1
民進黨22縣市長提名佈局一次看! 林智堅傳戰桃園、2人搶北市,"面對年底大選,民進黨早定調「防疫工作為優先」,提名作業至今都未有新進度。不過,外界對於各縣市的可能人選,仍有不同的推測;因此,《東森新媒體ETtoday》整理目前各界對於民進黨各縣市首長人選的可能名單。首先,六都市長方面,民進黨已經拍板「台中、台南與高雄」3都,分別由立法院副院長蔡其昌參選台中市長、台南市長黃偉哲、高雄市長陳其邁爭取連任。民進黨在六都方面,剩下台北市、新北市,以及桃園市尚未定奪。其中,台北市目前以衛福部長陳時中呼聲最高,不僅英系力挺,其他派系也沒有太多意見;不過除了陳時中外,無任所大使林佳龍也極力爭取台北市長,近來行程滿檔,日前推出「台北首都圈交通+首都願景的12門課」,又觸及中正紀念堂轉型等議題。至於桃園市長方面,除了立委鄭運鵬、前立委鄭寶清之外,近來現任的新竹市長林智堅也被納入討論;不過,林智堅是否真的投入桃園選戰,可能攸關新竹市參選人,目前新竹市除了行政院顧問鄭宏輝極力爭取外,林智堅有意拉抬副市長沈慧虹參戰,近來沈慧虹也成立粉絲專頁。至於基隆市長與嘉義市長方面,分別由立委蔡適應、立委王美惠呼聲最高。其中,王美惠勤跑基層已不是新聞,地方實力相當雄厚,外界認為年底在嘉義市長一戰,可能會是「雙惠」的對決,由民進黨王美惠,挑戰國民黨現任市長黃敏惠。在其他縣市方面,嘉義縣、苗栗縣、南投縣、雲林縣、屏東縣、宜蘭縣,已經拍板分別由翁章梁、徐定禎、蔡培慧、劉建國、周春米與江聰淵等人出戰。另外,新竹縣部分,由於先前參選新竹縣長未果的鄭朝方,已轉戰參選竹北市長,因此外界認為可能由前縣長林光華屬意的民進黨現任發言人周江杰出戰。在彰化縣方面,前縣長魏明谷仍繼續勤跑基層,有意討回2018年丟失的疆土,不過黨部主委邱建富也有意出戰;花蓮縣方面,則是外傳總統府發言人KolasYotaka投入選戰,對上現任縣長徐榛蔚。台東縣長部分,除了現任立委劉櫂豪之外,前立委賴坤成也辭去台灣中小企業聯合輔導基金會董事長,有意爭取出戰機會。至於澎湖縣,現任議員陳慧玲已表態爭取提名,而2018年丟失澎湖的前縣長陳光復也傳有意爭取;不過,近來陳慧玲跟前縣長高植澎多次在檯面上駁火,陳慧玲還為此召開記者會說明是私人恩怨,而高植澎則強調,如果提名陳慧玲,那麼他就會參選到底。對於民進黨在年底選戰的提名安排上,民進黨發言人黃彩玲受訪時表示,現在國人最關心的是疫情的變化,與民眾齊心做好防疫工作,是目前最為優先的工作。黃彩玲強調,民進黨縣市長的提名作業,民進黨會依照既定時程,推出最合適的人選,爭取選民支持,相關傳聞人選為媒體傳聞報導,目前本黨提名作業並未有新進度。《民進黨2022縣市首長提名可能名單》前有「*」記號者,為拍板人選,其餘為外傳可能但尚未定案。台北市:衛福部長陳時中、無任所大使林佳龍新北市:未明朗桃園市:新竹市長林智堅、立委鄭運鵬、前立委鄭寶清*台中市:立法院副院長蔡其昌*台南市:黃偉哲爭取連任*高雄市:陳其邁爭取連任基隆市:立委蔡適應新竹市:新竹副市長沈慧虹、行政院顧問鄭宏輝嘉義市:立委王美惠新竹縣:民進黨發言人周江杰*苗栗縣:前頭份市長徐定禎彰化縣:黨部主委邱建富、前縣長魏明谷*南投縣:前立委蔡培慧*雲林縣:立委劉建國*嘉義縣:翁章梁爭取連任*屏東縣:立委周春米*宜蘭縣:宜蘭市長江聰淵花蓮縣:總統府發言人KolasYotaka台東縣:立委劉櫂豪、前立委賴坤成澎湖縣:議員陳慧玲、前縣長陳光復金門縣:未明朗連江縣:未明朗",https://www.ettoday.net/news/20220612/2271378.htm,東森,政治,陶本和,"[101, 170, 311, 434, 539, 606, 674, 746, 767, 821, 935, 1005, 1079, 1098, 1126, 1146, 1153, 1177, 1191, 1203, 1215, 1224, 1245, 1254, 1267, 1280, 1298, 1309, 1319, 1331, 1341, 1353, 1368, 1374, 1390, 1406, 1413]",2022-06-12 20:42,2022,6,12,20,42
游錫堃:台灣雲峰飛彈可以打到北京 中國不要傷敵八百自損一千,"立法院長游錫堃12日表示,烏俄戰爭對台灣最重要的啟示,就是不要以為中國不會發動戰爭,一定要事先做好準備,早在他擔任行政院長的時候,就知道雲峰飛彈可以打到北京,台灣當然沒有要侵略中國,北京攻打台灣前要先想想,台灣已有攻擊北京的能力,中國不要傷敵八百、自損一千。游錫堃接受「台灣海外網」的邀請,以線上視訊的方式進行「防衛意志是護台良方-烏俄戰爭的啓示」的專題演講。游錫堃透露,早在他擔任行政院長的時候,就知道雲峰飛彈可以打到北京,但是自己不能說,而現在雲峰飛彈已經量產。游錫堃強調,台灣當然沒有要侵略中國,不像前總統蔣介石一樣要反攻大陸,台灣也不會主動去打北京、三峽大壩,但是中國要打台灣之前,要先想想台灣已有攻擊北京的能力,所謂「鹿死狗也要喘」,中國不要傷敵八百、自損一千,「中國要侵台前須三思」。游錫堃說,台灣募兵制兵員不足,兵役役期只有4個月,相較新加坡24個月、南韓18至23個月、芬蘭12個月都比較短,而新兵訓練、部隊受訓期同樣也較短,募兵制可能應該要檢討,兵源不足應該要補充,訓練不足的部分要想辦法改進。游錫堃提及,外國媒體《華爾街日報》曾經點出,台灣當兵4個月都在除草、掃地搬輪胎,戰力士氣低迷,還有被質疑後備軍人訓練不足,他認為外媒點出不足之處,台灣應該要感謝,並且讓全民了解一起改進。游錫堃表示,目前國內藍綠勢力相互拉扯,其實民主國家有不同意見這很正常,不過美日等先進國家的政黨,國家認同都一樣,「但是台灣政黨的國家認同有一點不一樣」。游錫堃坦言,台灣現在的在野黨,有的國家認同沒問題,但有些政黨內部對於國家認同有不同意見,如果在野黨不認同台灣是國家的話,就不是國家的忠誠反對黨,這種的拉扯就不好。",https://www.ettoday.net/news/20220612/2271362.htm,東森,政治,林銘翰,"[129, 233, 348, 456, 549, 625]",2022-06-12 19:15,2022,6,12,19,15
游錫堃談烏俄戰爭啟示 「共軍登陸要抱著必死的決心」,"立法院長游錫堃12日表示,烏俄戰爭對台灣最重要的啟示,就是不要以為中國不會發動戰爭,一定要事先做好準備,中國要打台灣一定要跨過台灣海峽,但萬一共軍登陸台灣,台灣每個人就要如同烏克蘭人民一樣,「全民團結合作,抱著必死的決心,把敵人打出去」。游錫堃接受「台灣海外網」的邀請,以線上視訊的方式進行「防衛意志是護台良方-烏俄戰爭的啓示」的專題演講。游錫堃指出,烏俄戰爭對台灣的啟示,就是不要以為中國不會發動戰爭,一定要事先做好準備,同時也要自助人助,展現台灣人的防衛意志,要讓中國知道侵台會付出代價。游錫堃認為,中國在經濟改善後逐漸變成霸權,共產黨的侵略本質及中國歷史兩、三千年來以來傳統的天朝心態,就是不斷想侵略台灣,包括南海、一帶一路等,實行戰狼、霸權外交,所以台灣不要以為中國不會發動戰爭,勿恃敵之不來,務必事先做好準備。游錫堃說,既然中國不放棄侵略台灣,台灣就應該上兵伐謀,同時也要實而備之,全世界民主國家必須要戰略清晰,應幫助台灣防衛,要讓中國知道戰爭會付出很大代價,一旦開戰就是與美、日、澳等國為敵,要讓中國打消侵略台灣的念頭,台灣也要做好準備,不能只靠其他國家。游錫堃表示,台灣與中國隔著台灣海峽,中國要打台灣一定要跨過台灣海峽,但是萬一共軍登陸台灣,台灣每個人就要如同烏克蘭人民一樣,「全民團結合作,抱著必死的決心,把敵人打出去」,要讓中國知道就算渡過台灣海峽、成功登陸,也會付出代價。游錫堃強調,如果台灣人民沒有防衛意志,有再精良的武器軍備就海峽天險也沒用,烏俄戰爭對台灣最重要的啟示還是自助人助,從總統、政府到人民都堅守國土,各國看到烏克蘭的堅定,所以全世界的援助才源源不絕,台灣要防衛就要找出台灣精神並且展現出來。",https://www.ettoday.net/news/20220612/2271352.htm,東森,政治,林銘翰,"[119, 246, 360, 484, 597]",2022-06-12 19:01,2022,6,12,19,1
陳時中快篩陽! 侯友宜祝早日康復:說要選台北市長的人都確診?,"指揮中心指揮官陳時中12日確診新冠肺炎,新北市長侯友宜回應,陳時中應該沒有打1922專線,期待他早日康復、回到工作崗位。民進黨市議員戴瑋姍傍晚時在臉書引用TVBS的報導,以及部分媒體直播內容指出,在下午新北市府疫情記者會開始前,侯友宜在與記者們閒聊時提及,「說要選台北市長的人都會確診」,語畢後大笑三聲。中央流行疫情指揮中心12日說明,指揮官陳時中上午自覺有症狀,使用家用快篩試劑檢驗,結果為陽性,由副指揮官陳宗彥暫代指揮官,指揮中心相關接觸者完成快篩,結果均為陰性。新北市政府下午召開「因應嚴重特殊傳染性肺炎疫情」說明會,對於記者提問陳時中確診,是否會建議他打1922請求協助嗎?侯友宜則回應,「我想他應該沒有打1922,我在這裡期待他早日康復,回到工作崗位」。對此,新北議員戴瑋姍表示,這時候關心慰問就好,「侯市長還要酸阿中部長確診沒打1922?說真的,沒營養、只為政治卸責的記者會就別開了。侯市長昨天完全沒有公開行程,躲了一天記者,今天防疫記者會只能暗嘲阿中部長?」戴瑋姍指出,市民只想知道4/14衛生局消失的半小時,「究竟發生什麼事?為何沒人接電話?侯市長,為什麼大家要一個真相那麼難呢?到底在閃躲什麼?你又在怕什麼?」根據TVBS報導,新北防疫記者會正式開始前,侯友宜、新北市副市長劉和然等人閒聊時提及陳時中確診一事,劉和然說,「早上新聞都出來了」,侯友宜回說,「是喔」,語畢後,突然又補一句,「說要選台北市長的人都會確診」,接著大笑三聲,劉和然也說,「(藍委)蔣萬安也確診過」,隨後現場倒數一分鐘,記者會開始。對此,戴瑋姍表示,記者會前,侯市長調侃阿中部長確診,還大笑三聲;劉和然副市長和陳潤秋,竟也在一旁打趣,「新北防疫最重要的三個人,竟然是這樣輕蔑態度,看待染疫這件事。對比他們記者會直播時的嚴肅表情,只能說整個團隊都是戲精啊!」戴瑋姍說,侯友宜不把他人生病當回事,他的團隊也一樣嘴臉。如此不尊重生命的心態,難怪到現在不僅掩蓋恩恩通報關鍵錄音檔,也不願意跟恩恩爸道歉,「也難怪侯市長的全力配合會變全力演出!你們再笑啊!很好笑嗎!」",https://www.ettoday.net/news/20220612/2271348.htm,東森,政治,"杜冠霖,陶本和","[152, 234, 332, 436, 514, 661, 773]",2022-06-12 18:59,2022,6,12,18,59
大陸禁台灣石斑魚 游淑慧酸「民進黨有骨氣一點」,"大陸日前以「檢出禁用藥物」為由,片面宣布13日起暫停台灣石斑魚輸入,蔡政府再打反陸牌,批評對岸政治干預貿易,不過,國民黨台北市議員游淑慧反酸,蔡英文政府要賺人民幣又嫌人家錢臭,「民進黨要是有骨氣一點,就主動說幫石斑魚找到很多訂單,我不賣給中國,讓別人花更多錢來買,這才叫有本事」。繼禁止鳳梨、釋迦、蓮霧輸入大陸,大陸海關總署10日發布最新通知,指從台灣輸入的石斑魚中,多次檢出孔雀石綠、結晶紫等禁用藥物,甚至土霉素超標,為保護消費者,要求各海關從下週一開始暫停台灣石斑魚輸入。游淑慧於網路節目表示,民進黨這幾年的所做所為很矛盾,先罵人民幣,但人家不買了又在喊說為什麼不買,如果有骨氣,就應該說不賣給大陸,自己照顧漁民、農民,沒本事就是除了罵只會抱怨,大陸想買被罵,不買又會被怪,要跟民進黨做生意也很難。游淑慧提到,日本這幾年在經濟也要減少對大陸的依賴,2020年有個政策補貼日企從大陸搬走,日本經濟變得怎樣是另外一回事,但起碼人家敢做,而民進黨一直說要抗陸,但事實上綠營一堆人都在大陸做生意。針對大陸最新一波禁令,農委會陳吉仲日前透過視訊指出,台灣所有輸出石斑魚均符合國際規範及中大陸規定通關,大陸取消輸入台石斑魚輸入,「違反所有國際規範相當清楚」,近期將利用透過雙方協議平台,提供科學證據,要求陸方取消禁令,若無正面回應,不排除到WTOSPS再次申訴。",https://www.ettoday.net/news/20220612/2271149.htm,東森,政治,皮心瑀,"[140, 238, 351, 446, 569]",2022-06-12 17:58,2022,6,12,17,58
陳時中確診!陳宗彥暫代防疫工作 民進黨:陳時中會透過電話掌握進度,"中央流行疫情指揮中心今(12)日表示,指揮官陳時中上午自覺有相關症狀,使用家用快篩試劑檢驗,結果為陽性,已透過通訊診療判定為確診,將進行居家照護,目前身體狀況良好。對此,民進黨表示,指揮官相關業務將由副指揮官陳宗彥暫代,陳時中也會透過電話及視訊方式,掌握防疫工作進度。指揮官陳時中傳出確診,對於蔡英文近期是否與陳有接觸,民進黨表示,蔡總統近期並未接觸陳時中部長,近期並未跟陳時中部長開過會,但時常且頻繁地透過電話,討論防疫工作。民進黨表示,防疫工作不會停歇,陳時中居家照護期間,指揮中心持續進行防疫工作,指揮中心指揮官相關業務將由副指揮官陳宗彥暫代,陳時中部長也會透過電話及視訊方式,掌握各項防疫工作進度。對於陳時中相關接觸者,民進黨表示,目前指揮中心團隊相關接觸者皆無確診,指揮中心疫情監測組組長周志浩、發言人莊人祥、醫療應變組副組長羅一鈞及王必勝,已完成快篩,結果均為陰性,目前身體狀況良好、皆無症狀,將持續落實自我健康監測。民進黨指出,陳時中擔任防疫指揮官兩年多來,為防疫工作盡心盡力,「我們希望陳時中部長能夠好好休息、早日康復。」",https://www.ettoday.net/news/20220612/2271301.htm,東森,政治,杜冠霖,"[134, 214, 303, 415]",2022-06-12 17:09,2022,6,12,17,9
台灣石斑魚被禁 吳釗燮開嗆:想跟大陸自由對等的做生意只會失敗,"大陸日前以「檢出禁用藥物」為由,片面宣布13日起暫停台灣石斑魚輸入。對此,外交部長吳釗燮在外交部推特上發文,批評對岸先是禁台灣鳳梨,如今再阻石斑進口,「想和大陸自由對等的做生意只會失敗,他們透過大量採購及剽竊技術,再將貿易變成武器,這就是中共在做的事」。繼禁止鳳梨、釋迦、蓮霧輸入大陸,大陸海關總署10日發布最新通知,指從台灣輸入的石斑魚中,多次檢出孔雀石綠、結晶紫等禁用藥物,甚至土霉素超標,為保護消費者,要求各海關從下週一開始暫停台灣石斑魚輸入。日前才確診的農委會陳吉仲則透過視訊指出,台灣所有輸出石斑魚均符合國際規範及中大陸規定通關,大陸取消輸入台石斑魚輸入,「違反所有國際規範相當清楚」,近期將利用透過雙方協議平台,提供科學證據,要求陸方取消禁令,若無正面回應,不排除到WTOSPS再次申訴。行政院長蘇貞昌12日也批評,大陸不遵守國際貿易規範不是第一次,「他所謂驗出有用什麼藥劑,我們檢驗完全沒有,我們把相關的科學證據給他,他也已讀不回,這種做法不但蠻橫,而且違背國際貿易慣例」,籲請國人同胞團結一致。吳釗燮則表示,大陸之前禁止台灣的鳳梨進口,如今則是針對石斑魚,這就是中共會做的事,透過大量採購並剽竊技術,把貿易武器化,和大陸自由且公平的做生意只會失敗,「我們只是讓他們的武器庫中的彈藥越來越多」。面對大陸施壓,英文名字為JosephWu的吳釗燮多次以「JW」署名在推特貼文,盼各界聽到台灣的聲音。",https://www.ettoday.net/news/20220612/2271148.htm,東森,政治,皮心瑀,"[127, 225, 342, 350, 455, 554, 572]",2022-06-12 16:44,2022,6,12,16,44
