timestamp,title,article,url,company,category,reporter
,俄烏之戰開打快4個月 郭正亮:「這兩國」明顯獲利,"俄烏之戰至今已近4個月,美國與歐洲各國紛紛對俄羅斯實施經濟制裁。塞爾維亞宣布與俄羅斯達成3年天然氣供應協議,印度也大買俄羅斯石油。前民進黨立委郭正亮表示,俄烏之戰,塞爾維亞、印度這兩國明顯獲利。 郭正亮4日在政論節目《新聞大白話》中表示,糧食能不能運出去,不單是俄羅斯阻止的問題,黑海的水也要清,因為水中有烏克蘭丟的水雷。而且不只非洲缺糧,中東也缺,而俄、烏的小麥,主要是賣給中東和北非。今年真的是凶年,再加上極端氣候,瘟疫、飢荒、戰爭、死亡都出現了,看來就是有人在找自己的面子。 郭正亮接著表示,這場戰爭,連西方人都認為要反敗為勝,難度實在太高了,若再撐下去,就是浩劫,大家都會受害,包括缺糧、缺能源的人,最弱的人受害更大,大部分都是沒有錢的國家。 郭正亮指出,塞爾維亞總統武契奇是第一個擺明要堅持到底,匈牙利、塞爾維亞、波蘭及立陶宛也說要堅持到底,而其他歐洲國家則在那邊搖擺。 郭正亮認為,塞爾維亞、印度這兩國明顯獲利。塞爾維亞得到中國大陸提供的地對空飛彈,這一局真是賺大了,得到能源和軍備。另外一個大贏家就是印度,印度其實成了俄羅斯石油的「全球貿易中心」,已經買了2400萬桶。",https://www.chinatimes.com/realtimenews/20220604003499-260407,中時,政治,黃麗蓉
,高雄市長選戰藍營派誰?她爆這2大咖都有可能,"年底高雄市長選戰,藍營派誰出戰,成為政壇討論話題之一。國民黨美女發言人、高雄市議員左營、楠梓區參選人白喬茵5月31日在節目中表示,就目前了解,前高雄市副市長李四川、前立委柯志恩都是可能人選,黨中央目前還在溝通中。 白喬茵5月31日上《TVBS》政論節目「少康戰情室」系列節目「少康上線啦」談及高雄市長選舉,趙少康拿出媒體報導詢問白喬茵,孫文學校校長張亞中有可能選高雄市長嗎?聽說地方有人在拱他?甚至有企業大老找他開會拱他出來,他選的可能性有多少? 白喬茵說,據她了解,他本人是真的蠻有意願的,他也積極地在跟地方座談、交流。不過,白喬茵坦言,張亞中雖然講話很有感染力,但他在中間選民的支持度上,可能要花費不少心力,想好策略是什麼,甚至需要找好強大的行銷團隊,才能讓大家扭轉,大家對他的既定印象。 對於高雄市議員,母雞最後可能派誰?白喬茵說,黨中央目前還在溝通、協調幾位優秀人選,相信很快就會對外公布。 趙少康追問,「近期有在談前立委柯志恩,她有可能嗎」白喬茵說,她個人認為,柯委員和前高雄市副市長李四川都有可能,而李四川是地方各方勢力的最大公約數,她相信黨主席朱立倫有持續在溝通中。",https://www.chinatimes.com/realtimenews/20220604003463-260407,中時,政治,李俊毅
,避免候選人違法 國民黨再祭「承諾書」制度最重要賠130萬違約金,"國民黨年底縣市議員與鄉鎮市長提名近尾聲,近日陸續要求獲提名者須簽結「候選人承諾書」,若未來參選過程有違反選罷法第112條行為,致黨要連坐處分,須賠償黨懲罰性違約金,直轄市候選人130萬,其餘縣市層級候選人115萬。 黨組發會副主委主委張逸華表示,黨員領取政黨推薦書本來就應該要遵守政黨的提名辦法,善盡黨員的義務,縣市黨部是用這個承諾書來提醒,領取政黨推薦書應有的責任。 國民黨新北市黨部發言人蕭敬嚴表示,候選人違反公職人選選罷法第112條規定,推薦政黨可被處50至500萬元罰鍰,過往常常因此,讓黨因提名候選人違法,遭連帶處分,成為黨另類重大財務負擔。 蕭敬嚴說,「候選人承諾書」規定,只是要讓獲政黨提名者,也相應承擔各自行為必須要有的義務與後果,對黨屬於內部風險管控,對參選的候選人而言,某種程度也可視為是清白參選宣示。 國民黨「候選人承諾書」要求,獲國民黨授予政黨推薦書參與今年相關選舉黨員,必須不得違反公職人員選罷法第112條、各級選委會核定黨須連坐受罰事項或違反黨紀處分規定。 「承諾書」中表示,黨提名候選人須確實清白參選,維護優良選風,否則只要違反上述規定致黨名譽受損、造成不利社會觀感,經法院判刑確定,就要付國民黨115萬(縣市層級)或130萬元(直轄市層級)懲罰性違約金,以賠償黨所受的財產或非財產上的損害。 而不同於國民黨直轄市議員初選過程,初選參選人須預繳的保證金20萬元,則是要確保初選過程不違法、違紀,初選落敗後不脫黨參選。",https://www.chinatimes.com/realtimenews/20220604003483-260407,中時,政治,周志豪
,桃園市長之戰張善政會贏嗎?他看到兩份民調吐一句,"桃園市長選戰,國民黨徵召前行政院長張善政參選,引發爭議,前台北市議員羅智強則強調要走自己的路;而民進黨擬推出新竹市長林智堅,外傳林智堅已經把戶籍遷到南桃園。新北市議員葉元之表示,他看到兩份民調,張善政贏民進黨的可能人選林智堅1%、2%;桃園在地民意代表都認為張善政若要贏,一定要整合羅智強,否則非常困難。 葉元之4日在政論節目《TVBS戰情室》中表示,最近有很多民調顯示,張善政有些微領先民進黨的可能人選,但是領先得非常少。他說,最近看過兩份民調,其中一份民調是張善政贏林智堅1%,另外一份則是張善政贏林智堅2%。而桃園在地民意代表也都認為張善政如果要贏,一定要整合羅智強;一旦羅智強的力量分散了,張善政要贏非常困難。 葉元之指出,國民黨要整合,不能只靠張善政。解鈴人還需繫鈴人,要看黨中央怎樣去整合。羅智強對黨主席朱立倫沒有期待,應該是兩人沒有聯絡,嫌隙就越來越深。如果國民黨沒有辦法整合,桃園這一局就很困難了。 至於民進黨人選,葉元之表示,民進黨感覺是要提名林智堅,甚至傳言林智堅已經把戶籍遷到南桃園,若是真的,一定會引起民進黨在地的大反彈。比如前立委鄭寶清信心滿滿地說,他所做的內部民調都是贏的,而且蔡英文還特別拉著他說繼續努力。若林智堅參選的事成真,民進黨怎麼對鄭寶清交代。不過,民進黨應有辦法整合。",https://www.chinatimes.com/realtimenews/20220604003453-260407,中時,政治,黃麗蓉
,否認回任竹市黨部主委 呂學樟:國民黨竹市長要提會贏的人,"國民黨新竹市長提名也陷僵局,市議會國民黨團以自辦民調方式推市議員林耕仁,獲議長兼市黨部主委許修睿支持,但黨中央考量知名度與地方派系涉入程度,評估另推人選,近日更傳要運作由中常委呂學樟回任市黨部主委操盤,但呂否認。 呂學樟表示,他沒有黨中央任何接到徵詢,也沒有要回任市黨部主委這樣的事情,因之前的慘痛的教訓,「我絕對不會去接」。 對於地方自推林耕仁,黨中央評估推清大通識中心主任翁曉玲或立委鄭正鈐。呂學樟說,個人參選意願很重要,但黨要提名市長人選,仍要提一個形象、學經歷、整體能力上「會贏的人」,不能只是「志在參加」。 外傳黨中央可能突襲徵召翁曉玲參選,呂學樟說,「我支持程序正義」,認為目前提名作業情形應該還要一些過程,就讓選策會與提名小組依規定去做。",https://www.chinatimes.com/realtimenews/20220604003406-260407,中時,政治,周志豪
,蘇貞昌猛吃誠實豆沙包?他抖出民進黨「背後真相」:史無前例,"行政院長蘇貞昌昨(3)日上午到高雄展覽館視察孩童大型疫苗施打站,不小心口誤說出「我們一起打贏這場防疫的選戰」,隨即修正為「作戰」,而資深媒體人黃揚明表示,「蘇院長某種程度就是吃了誠實豆沙包,就是講出內心話了」,更痛批很多東西都是指揮中心說了算,甚至更揭露了民進黨防疫的背後真相,直言「史無前例」,引發討論。 黃揚明今(4)日在中天新聞《鄭亦真辣晚報》中提到,中央流行疫情指揮中心這兩天都不開記者會,而剛好「這兩天死亡人數超高,那為什麼不開?」黃揚明直言,其實很多人在意的是哪一款疫苗在打滿三劑、沒有慢性病的情況下,被突破感染的比例最高,但指揮中心卻不公布,很多人民想知道的資訊,指揮中心都不給你,很多東西都是指揮中心說了算。 黃揚明更拿出中研院生物醫學科學研究所兼任研究員何美鄉的僅1成「長新冠」舉例,若是罹患Omicron的感染人數等於台東22萬人口數,難道不多嗎?黃揚明更嗆「染過就不會染,誰說的,拿科學根據出來」,他更坦言「我們已經很久沒有做基因定序」,而像侯漢廷2度感染就可以去做,這個很多國際醫學會對這個病毒的特性會很有興趣,會想了解「為何這些人重複染疫的比例特別高」,這應該要去研究的需要做整體全盤的考量,結果指揮中心卻一句話打發,這也讓黃揚明痛罵「現在防疫最不需要的這種態度」。 黃揚明更揭露了現在民進黨對於防疫「只想撐過去」,只要撐到7月15日國旅補助上路,就可以開始振興、進行選舉,這讓黃揚明無奈「這種用政策引導流行病傳染的速度,史無前例」,這整個政府團隊都搞錯方向了,會讓人民搖頭,還是把焦點放回來防疫。",https://www.chinatimes.com/realtimenews/20220604003271-260407,中時,政治,王柏文
,陳時中還能選台北市長嗎?吳子嘉、徐巧芯最新預測,"台北市長選舉,國民黨正式提名立委蔣萬安參選,民眾黨傾向支持台北市副市長黃珊珊,民進黨傳出衛福部長陳時中是可能人選之一。針對陳時中還能參選嗎?國民黨台北市議員徐巧芯表示,民進黨應該還是會派陳時中出馬選台北。媒體人吳子嘉則認為,陳時中選台北市長這件事,到目前為止並沒有改變。 徐巧芯4日在《董事長開講》網路節目中認為,英系對外放話,如果沒派陳時中出來選台北市長,等於是宣告防疫失敗,因為他們要掛住防疫成功的面子,無論如何都要派陳時中去選,認為他最適合的地方還是在台北市;不過,現在似乎變了。但不管怎樣,民進黨應該還是會派陳時中出馬選台北。吳子嘉也覺得,陳時中選台北市長這件事,確實到目前為止並沒有改變。 徐巧芯指出,在《美麗島電子報》的民調出來之前,民進黨要派陳時中,認為他是會贏的那個人。但民調出來之後,他們改成說,派別人參選會被說成防疫失敗。而台北市長選舉,在「三腳督」的情況下,3人的民調都會很接近。其中,陳時中的所有政策都對台北市民太差,卻把所有好的東西留給南部,因此陳時中若進入選戰中會被檢驗。",https://www.chinatimes.com/realtimenews/20220604003254-260407,中時,政治,黃麗蓉
,明知Omicron是幼童災難 蘇偉碩揭蔡政府冷血共存目的,"反萊豬醫師蘇偉碩4日在臉書發文痛批蔡政府防疫,執意讓台灣走向共存,罔顧Omicron對0至4歲幼童的致命災難。他揭密,蔡政府用意就是讓疫情「早爆發、早結束」,同時避免「韓流再起」,打壓防疫聲量逆轉飆升的雙北市長柯文哲、侯友宜,簡直就是「吃孩子血饅頭走向勝選」。 蘇偉碩指出,去年底美國已有Omicron的慘痛教訓,今年1月研究傳染病頂尖的南非政府也出版疫情報告,強調Omicron會大量感染幼童,導致0至4歲的住院率和之前的其他變種比起來,高得像是一場「災難」。 蘇偉碩表示,蔡政府今年初仍相當保守,防疫政策仍採圍堵為主,從中央遲疑開放兒童疫苗施打的部分就看得出來。從GDP成長來看,一直積極「圍堵」疫情的台灣,整體經濟並沒有受到防疫影響,2021年台灣甚至超車南韓,整體稅收和經濟都成長,甚至傲視國際,蔡政府為何要大膽改變策略? 此外,蔡英文明知幼童的父母親是青壯年世代,多是綠營的主要支持者,為何仍甘冒支持度下滑、輸掉年底選戰、辭去黨主席、失去主導下屆總統選舉提名等政治危機,放棄圍堵、大膽走向開放? 「民進黨想讓這場戰爭早點爆發、早點結束!」蘇偉碩表示,各國數據都顯示,Omicron延燒週期就是3至4個月。南韓疫情控制不當,3月總統大選投票日當天確診數還不斷飆升,果然導致執政黨易主。蔡政府年初就開始盤算,步步放寬檢疫政策,算準疫情從4月開始燒,5月底到高峰,最晚不超過到7月就會降溫,如此一來就不會衝擊到年底的選情,影響綠營造勢活動。 蘇偉碩直言,2018年「韓流」崛起的教訓歷歷在目,民進黨不會允許再有第二個超強的競爭對手,所以共存政策不止讓疫情不影響選情,又能讓雙北帶來新一波混亂,可有效打擊防疫聲勢逆轉飆漲的台北市長柯文哲、新北市長侯友宜也能有效打擊,是一石二鳥之計。 「疫苗、快篩、PCR、病床都不夠!」蘇偉碩痛批,就連「兒童綠色通道」都是出事後才做,若從4月起,盤點政府的防疫措施來比對疫情,完全可以看到政府一直在「補救」。蔡政府目前的防疫政策,只會帶來非常高的傷亡折損率。",https://www.chinatimes.com/realtimenews/20220604003136-260407,中時,政治,袁庭堯
,政府做錯被罵兩句就會垮? 王世堅:若那麼脆弱 就倒了算了,"藝人郭彥均臉書貼文「很多孩子走了」事件尚未平息,國民黨指控立法院副院長蔡其昌助理發假消息,行政院長蘇貞昌回應稱「互相了解就好」。民進黨台北市議員王世堅除了痛批網軍有兩大害處,更直言,中央政府、地方政府其實都很強、資源也很多,做錯了被罵兩句是會怎樣?若真的那麼脆弱,那就倒了算了。他甚至強調,誰豢養網軍被抓到,人民就應該痛擊。 王世堅3日在中視政論節目《庶民大頭家》中表示,網軍至少有兩大害處,我們社會一定要根除..第一個害處,就是讓我們人民愈來愈看不到事實、看不到真相,因為都是網軍的假消息;第二點害處就是,讓各級政府都愈來愈不做事,因為養網軍就好,幫你宣傳、幫你作梗圖、幫你去攻擊政敵,或者攻擊要監督你的人,讓他們噤若寒蟬,那很可怕。 王世堅接著表示,各政黨自己要清楚,既然身為政黨,不管是在野或執政,其實你的政黨並沒有那麼脆弱,被罵兩句、批評兩句就會垮。同樣的中央政府、地方政府也好,他們其實都很強、資源也很多,若做錯了被罵兩句、批評兩句是會怎樣?而地方及中央各級政府,大家也不用那麼愛惜他們,又不是說被罵兩句就倒了,如果真的那麼脆弱,那就倒了算了。 王世堅強調,從地方政府到中央政府,誰豢養網軍被抓到,人民就應該痛擊,讓惡劣囂張的執政者,不要再去用公帑養網軍。",https://www.chinatimes.com/realtimenews/20220604003109-260407,中時,政治,黃麗蓉
,再批民進黨政府不民主 馬辦:民進黨跟共產黨有何差別?,"前總統馬英九今在臉書批評,台灣在民進黨執政下,雖號稱「民主」,卻一步步墮入「不自由的民主」,遭民進黨反擊是為博取聲量,誤導大眾視聽、批評台灣民主。馬辦晚間反批,一個連「很多小孩走了」都不准說的政府,看到不同意見就扭曲抹紅的執政黨,還有臉來說嘴自己是自由民主? 馬辦表示,這些年來許多人質疑,打壓異己的民進黨,和他們口中批判的中共有何差別?台灣民眾眼睛是雪亮的,不會允許蔡政府持續以內宣方式蒙蔽大眾。 馬辦指出,任何政黨都不該基於自己的意識形態,迫害講真話的民眾,傷害得來不易的民主;馬英九也絕對堅定地與台灣民眾站在一起,不會讓民進黨繼續戕害台灣民主。 對於民進黨引述國際肯定台灣民主數據,馬辦表示,這幾年在「美中對抗」氛圍下,相關評價並未真實呈現民進黨政府問題,如蔡政府關新聞台、查水表、幫涉貪前總統除罪等行徑,外國相關單位似乎視而不見,使得台灣民主成績失真。",https://www.chinatimes.com/realtimenews/20220604003106-260407,中時,政治,周志豪
